FC..class1.class2.	P.value
PP_042673	Inf	1.968e-09
PP_042697	Inf	8.568e-07
PP_042409	Inf	1.013e-06
PP_039697	Inf	2.893e-06
PP_051191	Inf	4.178e-06
PP_052705	Inf	5.276e-06
PP_039001	Inf	2.204e-05
PN_027202	Inf	2.563e-05
PP_049919	Inf	8.084e-05
PP_044689	Inf	9.212e-05
PP_038879	Inf	9.657e-05
LP_001860	Inf	0.0001548
PN_022578	Inf	0.0001743
PP_046921	Inf	0.0002731
PP_035017	Inf	0.0003403
LP_001937	Inf	0.0005434
PN_022594	Inf	0.0006742
PP_035327	Inf	0.0007727
LP_27028	Inf	0.0008426
LP_35311	Inf	0.0009527
PP_043705	Inf	0.001078
LP_19083	Inf	0.001374
PN_027554	Inf	0.00197
PP_036985	Inf	0.002353
PP_039025	Inf	0.002526
PP_041713	Inf	0.002669
LP_001805	Inf	0.003199
LP_002512	Inf	0.004239
PP_037201	Inf	0.004604
PP_054361	Inf	0.004732
PP_038329	Inf	0.004755
PN_022610	Inf	0.004761
LP_000763	Inf	0.005871
LP_29012	Inf	0.006278
LP_003741	Inf	0.0067
LP_27455	Inf	0.008442
PP_034919	Inf	0.008878
PP_043801	Inf	0.009185
PP_054529	Inf	0.009745
LP_34749	Inf	0.01053
PN_027714	Inf	0.0123
LP_31157	Inf	0.01267
LP_33434	Inf	0.01364
LP_002025	Inf	0.01418
PP_038617	Inf	0.01491
PP_042119	Inf	0.01581
PP_042457	Inf	0.01646
LP_18725	Inf	0.01668
PN_023106	Inf	0.01699
LP_003719	Inf	0.01733
GC_045	Inf	0.01823
LP_37188	Inf	0.0202
LP_35310	Inf	0.02027
LP_19249	Inf	0.02061
PP_057097	Inf	0.02076
PN_021874	Inf	0.02399
LP_36210	Inf	0.02541
PN_022850	Inf	0.02737
PN_024866	Inf	0.02787
LP_18756	Inf	0.02926
PP_042889	Inf	0.02934
PP_042217	Inf	0.0336
PP_054409	Inf	0.03649
PN_024850	Inf	0.03678
LP_003917	Inf	0.03683
LP_18700	Inf	0.03686
PP_046319	Inf	0.03751
LP_25128	Inf	0.03803
PP_036961	Inf	0.03905
LP_17963	Inf	0.04127
PN_028626	Inf	0.04263
LP_002245	Inf	0.04398
LP_18066	Inf	0.0441
LP_003587	Inf	0.04497
PN_022082	Inf	0.04578
LP_18428	Inf	0.04853
PP_039241	Inf	0.04891
