FC..class1.class2.	P.value
PP_042697	-Inf	6.557e-12
PP_042529	-Inf	1.037e-09
PP_041329	-Inf	2.949e-09
PP_044689	-Inf	6.775e-09
PP_042409	-Inf	2.27e-08
LN_005077	-Inf	3.731e-07
PP_039001	-Inf	6.407e-07
PP_052705	-Inf	1.134e-06
PP_054889	-Inf	2.893e-06
LP_24810	-Inf	4.062e-06
PP_035327	-Inf	4.513e-06
LN_005041	-Inf	7.432e-06
LP_28871	-Inf	8.496e-06
LP_009409	-Inf	1.462e-05
LP_30125	-Inf	2.083e-05
LP_28693	-Inf	2.416e-05
LP_000796	-Inf	4.377e-05
LP_26834	-Inf	6.373e-05
LN_003349	-Inf	8.432e-05
PP_046921	-Inf	8.852e-05
LP_002446	-Inf	8.991e-05
LP_27026	-Inf	9.619e-05
LP_003051	-Inf	0.0001133
LN_004316	-Inf	0.000182
PP_013297	-Inf	0.0001942
LN_004922	-Inf	0.0002545
LP_31538	-Inf	0.0003548
LP_30223	-Inf	0.0003881
PP_039913	-Inf	0.0004744
LP_24939	-Inf	0.0004818
LP_31689	-Inf	0.0006215
LP_28580	-Inf	0.001088
LP_19551	-Inf	0.001114
LN_004694	-Inf	0.00123
LP_001148	-Inf	0.001395
LP_19007	-Inf	0.001479
LN_005047	-Inf	0.001531
LP_30020	-Inf	0.001801
LP_009431	-Inf	0.001967
LP_29011	-Inf	0.002449
PP_046777	-Inf	0.002611
LP_24676	-Inf	0.003172
LP_19035	-Inf	0.003404
LN_16788	-Inf	0.003807
LN_001333	-Inf	0.00414
LN_000001	-Inf	0.004188
LP_18725	-Inf	0.004324
GC_010	-Inf	0.004996
LP_000433	-Inf	0.005247
LP_32840	-Inf	0.005264
LP_28579	-Inf	0.005555
LP_009398	-Inf	0.006001
PP_042673	-430.656565283241	0.00601
LP_31814	-Inf	0.006444
LP_17720	-Inf	0.008116
GC_001	-Inf	0.008753
LP_001827	-Inf	0.009538
PN_023106	-Inf	0.009896
LP_003029	-Inf	0.01025
LP_17809	-Inf	0.01228
LP_30123	-Inf	0.01231
LP_33924	-Inf	0.01239
LN_002606	-Inf	0.01279
PP_037201	-Inf	0.0128
LP_001893	-Inf	0.01352
GC_037	-Inf	0.01358
