FC..class1.class2.	P.value
PP_042673	Inf	3.09e-15
PP_042409	Inf	2.223e-09
PP_051191	Inf	6.915e-08
PP_039001	Inf	3.328e-07
PP_042529	Inf	6.834e-07
LP_001937	Inf	2.966e-06
PP_039697	Inf	6.102e-06
PP_052705	Inf	1.416e-05
PP_038617	Inf	1.661e-05
PP_049919	Inf	2.342e-05
PN_022594	Inf	2.428e-05
PP_037201	Inf	4.653e-05
PP_054889	Inf	5.112e-05
LP_27028	Inf	6.064e-05
PP_043705	Inf	6.809e-05
PP_035017	Inf	9.231e-05
PP_035327	Inf	0.0001053
PP_042697	Inf	0.0001273
LP_001860	Inf	0.0002407
PN_022850	Inf	0.0002856
PP_038879	Inf	0.0003723
LP_002025	Inf	0.0005209
PN_022578	Inf	0.0005876
LP_003719	Inf	0.0007248
PP_054769	Inf	0.001105
PP_046921	Inf	0.001448
PP_034919	Inf	0.00149
PP_039025	Inf	0.001863
PP_043273	Inf	0.002081
LP_002512	Inf	0.003273
LP_001805	Inf	0.003976
PP_054529	Inf	0.006638
PP_042119	Inf	0.007033
LP_002245	Inf	0.007315
PP_054361	Inf	0.008401
PP_044065	Inf	0.008695
LP_33820	Inf	0.01079
PP_041713	Inf	0.01086
LP_002135	Inf	0.01161
PP_039865	Inf	0.0117
PN_028626	Inf	0.01255
PP_038329	Inf	0.0132
PP_036985	Inf	0.01323
PP_044689	Inf	0.01568
LP_003917	Inf	0.01603
PP_042457	Inf	0.01718
GC_045	Inf	0.01728
LP_003029	Inf	0.01797
LP_34061	Inf	0.018
PN_024850	Inf	0.01826
LP_002146	Inf	0.01853
LP_003928	Inf	0.01871
LP_003587	Inf	0.01874
PP_049177	Inf	0.02081
LP_19249	Inf	0.02084
LP_29676	Inf	0.0211
PP_039241	Inf	0.02145
LP_33601	Inf	0.02151
LP_29012	Inf	0.02182
PN_027554	Inf	0.02265
LP_37386	Inf	0.02365
LP_27455	Inf	0.02463
LP_34820	Inf	0.02643
LP_36950	Inf	0.02736
LP_002256	Inf	0.03147
PP_042889	Inf	0.03352
PN_022082	Inf	0.03469
PP_046319	Inf	0.04053
LP_002355	Inf	0.04422
PN_021874	Inf	0.04647
PP_054409	Inf	0.04877
PP_054961	Inf	0.04896
