FC..class1.class2.	P.value
LP_009442	Inf	0.02305
PP_039697	Inf	1.438e-12
LP_001948	Inf	3.283e-12
LP_002047	Inf	8.312e-10
LP_002036	Inf	1.678e-08
PP_043273	Inf	4.788e-08
LP_001959	Inf	1.433e-07
LP_009288	Inf	2.672e-07
LP_009310	Inf	8.432e-07
LP_002058	Inf	2.363e-06
LP_003928	Inf	1.064e-05
LP_27028	Inf	1.18e-05
LP_27435	Inf	2.919e-05
LP_27237	Inf	4.669e-05
LP_34206	Inf	6.493e-05
LP_003730	Inf	7.28e-05
LP_19486	Inf	7.58e-05
LP_002355	Inf	7.764e-05
LP_002157	Inf	0.0001076
LP_002311	Inf	0.0001172
PP_041929	Inf	0.0001895
LP_002168	Inf	0.0002525
LP_002300	Inf	0.0002637
LP_002457	Inf	0.0003176
PN_027554	Inf	0.0003504
LP_002256	Inf	0.0003563
PP_049919	Inf	0.0003646
LP_003939	Inf	0.0004147
LP_001937	Inf	0.000428
LP_002479	Inf	0.00055
LP_002146	Inf	0.0006204
LP_004148	Inf	0.0006972
LP_003128	Inf	0.0008076
LP_004632	Inf	0.0008571
LP_001871	Inf	0.0008663
LP_004643	Inf	0.0009329
LP_001970	Inf	0.0009895
LP_000763	Inf	0.001203
LP_002523	Inf	0.001302
LP_002289	Inf	0.001397
LP_002512	Inf	0.001731
LP_21506	Inf	0.001792
LP_0094421	Inf	0.00201
LP_002179	Inf	0.002116
LP_002366	Inf	0.002277
LP_002267	Inf	0.002399
LP_002025	Inf	0.002921
LP_004137	Inf	0.003448
LP_20366	Inf	0.003485
LP_23980	Inf	0.003532
LP_20797	Inf	0.003578
LP_35311	Inf	0.003595
PN_022850	Inf	0.003693
LP_25837	Inf	0.00391
LP_32844	Inf	0.004637
PP_042313	Inf	0.005024
LP_003917	Inf	0.005553
LP_34061	Inf	0.005812
LP_35195	Inf	0.006976
LP_002278	Inf	0.007109
LP_002069	Inf	0.00715
LP_002377	Inf	0.00848
LP_35310	Inf	0.008903
LP_33935	Inf	0.009053
LP_23085	Inf	0.009963
LP_004654	Inf	0.01043
LP_004181	Inf	0.01202
LP_003719	Inf	0.01212
LP_002245	Inf	0.01282
PP_049177	Inf	0.01314
LP_36950	Inf	0.0135
LP_17635	Inf	0.01361
LP_29154	Inf	0.0154
LP_36495	Inf	0.01643
LP_003741	Inf	0.01677
LP_003950	Inf	0.01723
LP_002410	Inf	0.01729
LP_20946	Inf	0.01775
PN_022594	Inf	0.01923
LP_20090	Inf	0.01941
LP_004500	Inf	0.02055
LP_002388	Inf	0.02134
LP_004489	Inf	0.0222
LP_002399	Inf	0.02233
LP_004423	Inf	0.02269
PP_039025	Inf	0.02313
LP_004566	Inf	0.02408
PP_039865	Inf	0.02459
LP_25975	Inf	0.02496
LP_26370	Inf	0.02582
LP_19835	Inf	0.02637
LP_004434	Inf	0.02779
LP_004467	Inf	0.02807
LP_002930	Inf	0.03033
LP_25476	Inf	0.03045
LP_22581	Inf	0.03153
PP_051191	Inf	0.03297
LP_001882	Inf	0.0333
LP_37187	Inf	0.03548
LP_34819	Inf	0.04024
LP_36313	Inf	0.0404
LP_38092	Inf	0.04234
LP_36412	Inf	0.04414
LP_21385	Inf	0.04656
GC_045	Inf	0.04723
LP_004665	Inf	0.04753
LP_37300	Inf	0.04768
LP_27560	Inf	0.04877
