FC..class1.class2.	P.value
PP_042697	-Inf	6.557e-12
PP_042529	-Inf	1.037e-09
PP_041329	-Inf	2.949e-09
PP_044689	-Inf	6.775e-09
PP_042409	-Inf	2.27e-08
LN_005077	-Inf	3.731e-07
PP_039001	-Inf	6.407e-07
PP_052705	-Inf	1.134e-06
PP_054889	-Inf	2.893e-06
LP_24810	-Inf	4.062e-06
PP_035327	-Inf	4.513e-06
LN_005041	-Inf	7.432e-06
LP_28871	-Inf	8.496e-06
LP_009409	-Inf	1.462e-05
LP_30125	-Inf	2.083e-05
LP_28693	-Inf	2.416e-05
LP_000796	-Inf	4.377e-05
LP_26834	-Inf	6.373e-05
LN_003349	-Inf	8.432e-05
PP_046921	-Inf	8.852e-05
LP_002446	-Inf	8.991e-05
LP_27026	-Inf	9.619e-05
LP_003051	-Inf	0.0001133
LN_004316	-Inf	0.000182
PP_013297	-Inf	0.0001942
LN_004922	-Inf	0.0002545
LP_31538	-Inf	0.0003548
LP_30223	-Inf	0.0003881
PP_039913	-Inf	0.0004744
LP_24939	-Inf	0.0004818
LP_31689	-Inf	0.0006215
LP_28580	-Inf	0.001088
LP_19551	-Inf	0.001114
LN_004694	-Inf	0.00123
LP_001148	-Inf	0.001395
LP_19007	-Inf	0.001479
LN_005047	-Inf	0.001531
LP_30020	-Inf	0.001801
LP_009431	-Inf	0.001967
LP_29011	-Inf	0.002449
PP_046777	-Inf	0.002611
LP_24676	-Inf	0.003172
LP_19035	-Inf	0.003404
LN_16788	-Inf	0.003807
LN_001333	-Inf	0.00414
LN_000001	-Inf	0.004188
LP_18725	-Inf	0.004324
GC_010	-Inf	0.004996
LP_000433	-Inf	0.005247
LP_32840	-Inf	0.005264
LP_28579	-Inf	0.005555
LP_009398	-Inf	0.006001
PP_042673	-430.656565283241	0.00601
LP_31814	-Inf	0.006444
LP_17720	-Inf	0.008116
GC_001	-Inf	0.008753
LP_001827	-Inf	0.009538
PN_023106	-Inf	0.009896
LP_003029	-Inf	0.01025
LP_17809	-Inf	0.01228
LP_30123	-Inf	0.01231
LP_33924	-Inf	0.01239
LN_002606	-Inf	0.01279
PP_037201	-Inf	0.0128
LP_001893	-Inf	0.01352
GC_037	-Inf	0.01358
LP_17963	-Inf	0.01374
GC_012	-Inf	0.01604
PP_042119	-Inf	0.01635
LN_000764	-Inf	0.01672
LP_000851	-Inf	0.01699
LP_009365	-Inf	0.01749
LP_30420	-Inf	0.01752
LP_19083	-Inf	0.01831
LP_22924	-Inf	0.01847
LP_005812	-Inf	0.0185
LP_27027	-Inf	0.02017
LP_18066	-Inf	0.02138
LP_30314	-Inf	0.02331
LP_19532	-Inf	0.02383
PN_022578	-Inf	0.02384
LP_32699	-Inf	0.02536
LN_004958	-Inf	0.02552
LN_003914	-Inf	0.02651
PP_035017	-Inf	0.02659
LP_34319	-Inf	0.028
LP_000807	-Inf	0.03035
PP_041689	-Inf	0.03051
PP_038879	-Inf	0.03088
PN_022610	-Inf	0.03351
PP_036961	-Inf	0.03377
LP_31815	-Inf	0.03554
LP_001805	-Inf	0.03981
LP_000906	-Inf	0.04004
LP_001783	-Inf	0.04054
LP_30315	-Inf	0.04369
LN_000224	-Inf	0.04751
LP_18882	-Inf	0.04804
LP_28868	-Inf	0.04907
PP_0426731	-430.656565283241	0.00339
LP_0094311	-Inf	0.01023
PP_0469211	-Inf	0.0435
