"","Peak_ID","Compound_Name","mz_mean","mz_diff_ppm","RT_diff","Adduct","Synonym","Chem_Sum_Formula","Exact_Mass","Lipid_Class","FA_composition","R1_06D","R2_06D","R3_06D","R4_06D","R5_06D","R6_06D","R1_06M","R2_06M","R3_06M","R4_06M","R5_06M","R6_06M","R1_12D","R2_12D","R3_12D","R4_12D","R5_12D","R6_12D","R1_12M","R2_12M","R3_12M","R4_12M","R5_12M","R6_12M","R1_24D","R2_24D","R3_24D","R4_24D","R5_24D","R6_24D","R1_24M","R2_24M","R3_24M","R4_24M","R5_24M","R6_24M","R1_48D","R2_48D","R3_48D","R4_48D","R5_48D","R6_48D","R1_48M","R2_48M","R3_48M","R4_48M","R5_48M","R6_48M","R1_72D","R2_72D","R3_72D","R4_72D","R5_72D","R6_72D","R1_72M","R2_72M","R3_72M","R4_72M","R5_72M","R6_72M"
"1","GC_001","L-Alanine",116,NA,NA,NA,NA,"C3H7NO2","89.0477","Amino Acids",NA,1011689,1979836,1170347,910065,2177035,1535447,922966,1949674,1446139,1108683,2143362,1680547,899126,3906858,1878539,1260239,2517286,2934467,889057,4021150,1786800,1556939,2652994,2657848,908275,2262483,1640916,1566124,2711028,2977723,690467,2046611,2458961,1816133,2952149,2801795,1204772,3730456,3677547,1889150,5207725,3970608,1045168,3385334,3527122,1728998,4131965,4245432,2629040,7141994,5001658,2944547,6306560,6125278,2332772,5799301,4189474,3142525,5652295,5854892
"2","GC_002","Pyruvic acid",174,NA,NA,NA,NA,"C3H4O3","88.016",NA,NA,97896,207273,122985,95273,145535,140266,123735,195287,137791,88729,156748,156340,111507,253077,204047,116122,177943,187407,110922,239385,176319,114663,170046,213226,74999,231022,195497,120336,170870,225866,75891,162475,228575,102101,211694,199057,148087,281983,306059,120490,199838,280672,123512,297311,280318,95308,230301,296380,158474,360628,292506,157529,217103,345758,139086,327006,307694,171461,272239,230804
"3","GC_005","L-Valine",144,NA,NA,NA,NA,"C5H11NO2","117.0789789","Amino Acids",NA,577989,1000906,683610,588086,1273578,960616,590930,1091472,744847,706952,1382622,1143827,372943,1636101,1044732,741531,1294858,2093372,485835,1832392,1103753,1059164,1658844,1763134,389894,1185817,842762,984972,1484272,1633377,414572,1298884,1465669,1151124,1774269,1770454,613918,1457961,1948624,1008970,2508037,1726334,631986,1633343,2243849,1047795,2032361,2155911,889402,3096227,2273035,1478068,2505059,2300875,944440,3100691,2329724,1844607,2433792,2880264
"4","GC_006","Glycerol",117,NA,NA,NA,NA,"C3H8O3","92.0473",NA,NA,142130,322105,187042,217066,380136,279588,162852,312274,220574,260007,351951,317260,216890,544510,379377,269034,499021,400470,218718,613125,345248,316603,587142,413473,161551,434372,316322,295001,586153,470344,168723,379335,406972,318508,599089,475006,226871,464463,445927,338011,515997,495577,194498,511725,452912,295455,506948,574283,292541,913434,621172,457940,529238,680426,272349,901028,548162,446560,566594,628461
"5","GC_007","Methyl Phosphate",241,NA,NA,NA,NA,"CH5O4P","111.992548",NA,NA,277595,1551913,678079,293371,590228,208128,301538,1097477,846261,319598,654421,318489,317479,2223951,1305172,335101,705734,669399,316206,1404609,815110,402084,736994,534749,201961,1558168,2039257,427218,683657,394513,229555,969177,1977366,348142,742783,497004,406194,1861018,2538463,405955,608945,547398,284467,1689685,2629799,237507,776657,539131,731466,2617599,2343618,567504,581023,746238,694219,2409484,2558618,565892,711114,678298
"6","GC_008","L-Leucine",158,NA,NA,NA,NA,"C6H13NO2","131.0946289","Amino Acids",NA,611818,1245496,820212,635582,1499641,1038633,644681,1358683,871645,807000,1675869,1324669,415432,2115755,1298292,813637,1549738,2506318,525314,2389862,1293803,1204334,2032055,2041889,406372,1489545,1004372,1108122,1821394,1853668,440802,1547383,1887589,1301910,2177336,2075395,679662,1829171,2501146,1154439,2971620,2104178,689225,2117027,2880844,1136741,2478597,2546942,1053695,4065958,2866957,1728149,3008356,2732230,1123488,4165393,3004377,2147899,2955533,3390202
"7","GC_009","L-Isoleucine",158,NA,NA,NA,NA,"C6H13NO2","131.0946289","Amino Acids",NA,543724,1038939,717367,584367,1344889,957959,584916,1140015,754485,721831,1460435,1187131,371019,1692286,1108830,730879,1331639,2190180,467642,1918701,1105951,1059912,1699454,1778683,374011,1245838,835646,990699,1568863,1637205,406013,1313803,1523353,1141216,1838417,1782298,621771,1475746,2005487,1035768,2528725,1775699,621097,1710361,2339600,1016136,2083532,2206990,924974,3178330,2311018,1500417,2500999,2288948,963231,3196264,2421027,1875567,2495668,3017127
"8","GC_010","Glycine",174,NA,NA,NA,NA,"C2H5NO2","75.032","Amino Acids",NA,700035,3412671,1913930,1991913,3507445,1706399,1765663,3346504,3053288,2871291,3003616,4434646,2065295,3743909,3407954,2343274,4097090,3855045,1083865,3948257,1716594,1569638,4482451,4812182,1343014,5007899,4173043,3290771,3920977,1394828,1855243,1925158,2387819,1377376,3429750,4916420,1431495,6712872,5286342,2908311,3032824,6062669,1808495,6440970,5951497,741030,6183874,4302238,3549540,6969660,6370929,4883970,7048215,7098125,3405871,6515126,6429045,2224941,6721319,4528078
"9","GC_011","Orthophosphate",299,NA,NA,NA,NA,"H3PO4","97.976895",NA,NA,3900063,3727909,3528079,3755755,3765210,3911708,3778564,3802381,3804766,3434113,3812956,3497841,3416672,3817947,3818195,3848350,3842774,3728895,3909991,3863801,3914152,3854029,3738188,3486142,3835428,3372374,3505763,3840752,3642195,3865505,3551231,3885711,3840060,3856656,3794025,3717843,3697514,3788997,3585280,3756394,3854349,3654191,3754400,3392118,3663081,3854219,3486980,3838848,3703879,3867182,3714661,3549448,3698787,3778768,3814636,3399491,3540516,3901024,3668767,3859579
"10","GC_012","L-Proline",142,NA,NA,NA,NA,"C5H9NO2","115.0633289","Amino Acids",NA,3471056,6780260,4044341,3928375,6999958,6065024,3626633,6847630,4794416,4281511,7436508,6541651,3666231,9446013,7760410,4819724,8812888,9256020,4448093,9933547,7305266,6321736,9495361,8097732,2920214,6978148,6498851,6006637,8578344,8673604,3162714,8516175,8244236,6812895,9742170,9479582,4666922,9742332,9773929,6728174,10609782,9903309,4400198,9127836,10148844,6320439,9774279,10691932,7175603,10677238,10299952,8793526,10239780,10501184,7746618,9325125,9921446,9804892,10166386,10602368
"11","GC_013","Urea",171,NA,NA,NA,NA,"CH4N2O","60.0324",NA,NA,125476,277187,173872,139338,259440,252826,140868,289676,196774,167104,300209,249685,102771,405367,295524,197434,356979,343819,131755,446616,313322,246879,404041,396123,74090,315965,245088,214730,365082,427187,81423,352145,370896,226918,444071,411868,151305,421271,440017,238000,450062,387978,133212,475692,438108,217329,406191,463114,168849,641872,523355,332863,400776,431097,163593,617207,502818,422952,438542,443265
"12","GC_014","L-Serine",204,NA,NA,NA,NA,"C3H7NO3","105.0425938","Amino Acids",NA,468229,929411,526272,500992,1101625,753892,508641,920875,584122,602487,1141386,878018,360337,1474788,941588,552746,1041072,1377236,403365,1636735,838896,763465,1449055,1204049,286339,1027393,751825,728972,1253799,1095520,296444,923128,1115358,801229,1333281,1203527,528143,1514124,1817337,764388,1563908,1460641,472451,1677793,1897500,623739,1445153,1748022,989716,3103501,2154853,1236542,1950592,1931011,950540,2697887,2160186,1425295,2084689,2318703
"13","GC_015","Succinic acid",247,NA,NA,NA,NA,"C4H6O4","118.0266",NA,NA,12679,60214,30748,21699,52667,46174,13073,68209,36074,29772,54839,64386,18934,123346,50563,42548,95898,96338,15803,133495,40001,50633,115170,146293,17398,84329,57329,44471,93458,150358,15621,61540,87235,40273,119132,162795,26092,117525,129783,57607,201283,140841,22115,156725,120003,44267,152558,167314,72873,200860,175579,98196,196738,112650,58133,198275,173907,96789,208405,172254
"14","GC_016","L-Threonine",117,NA,NA,NA,NA,"C4H9NO3","119.0582","Amino Acids",NA,741441,1436539,841973,811242,1720173,1303380,753734,1463057,929137,936660,1776661,1487741,574635,2262691,1426316,902653,1697410,2268447,618481,2435172,1296682,1171232,2119967,1944819,460728,1573594,1101546,1137703,1973895,1775194,479976,1341880,1630398,1186553,1990299,1830384,814988,2268710,2556725,1168708,2569204,2336466,713672,2476303,2760693,1020387,2450778,2607948,1506337,4128461,2993551,1863705,2940134,2837557,1459789,3957732,3005795,2092850,3060736,3424218
"15","GC_017","Fumaric acid",245,NA,NA,NA,NA,"C4H4O4","116.0109601",NA,NA,342994,1253581,507832,271235,905110,349298,357445,1087947,726628,105169,811488,411323,390924,1809187,1160147,472072,1141054,769106,368214,1747179,923377,599290,1284269,758550,284445,1473065,1063447,635931,1312218,788184,269669,911845,1311037,550239,1330544,686516,415862,2316837,2248435,734161,1829317,1375853,331552,2199003,1801717,533302,1797116,1294291,965996,3282103,2710367,1058332,1723623,2321766,768213,2797278,2300272,1003909,1902848,1562851
"16","GC_018","Nonanoic acid",117,NA,NA,NA,NA,"C9H18O2","158.13068",NA,NA,13707,15391,18240,14252,28044,11199,16314,14280,17844,10869,20894,22489,11527,20575,16377,14205,20726,16266,11585,14492,12719,14458,34672,20090,16095,17441,12441,16858,26292,19235,14224,16846,14919,11095,23914,19213,13856,16709,15313,17433,22073,21340,13953,20574,20411,10791,29259,19973,14934,4128461,21855,22507,16579,20860,14393,3957732,20134,19016,28374,17179
"17","GC_019","Uracil",241,NA,NA,NA,NA,"C4H4N2O2","112.0273",NA,NA,1552,13142,8688,11856,16441,2366,4827,10839,18275,19342,7387,22118,21512,12175,13281,17281,26505,9696,4384,9687,3771,6971,16013,20492,20381,26647,25476,19201,27690,4787,20417,3368,6065,7395,13156,22113,7749,49324,46958,19357,14711,23166,10365,34406,32901,6013,34250,10017,16810,34816,39799,34309,28360,27853,11916,53032,31546,6640,22409,5522
"18","GC_021","Erythritol",217,NA,NA,NA,NA,"C4H10O4","122.057909",NA,NA,28161,58358,33358,31333,65339,48001,31294,55243,38047,38727,65932,58435,27723,92741,61746,39781,74331,87608,29272,95437,53109,49977,87779,82392,22021,70254,47353,48449,88621,77561,23809,61993,70259,50164,98662,92023,33101,102983,104819,52337,116032,107244,29117,111304,105746,45577,115095,109049,50181,166158,128785,78526,137778,127380,45268,162979,120913,78550,129513,115101
"19","GC_022","O-Acetyl-L-serine",132,NA,NA,NA,NA,"C5H9NO4","147.053162",NA,NA,582,1054,788,734,1128,1023,598,856,704,718,1284,1155,554,1453,1064,680,1302,1460,748,1635,993,1003,1578,1300,659,1275,1113,1087,1566,1457,581,1213,1229,781,1497,1362,835,1691,1803,841,1970,2006,785,2056,1658,1006,2103,1987,969,3011,2154,1459,2144,2279,813,2837,2018,1329,2191,1845
"20","GC_023","L-Malic acid",233,NA,NA,NA,NA,"C4H6O5","134.0215251",NA,NA,191507,654059,271753,273809,701055,638746,202071,617379,392986,313036,599581,633485,238534,1028274,660750,445100,1013808,813179,207980,1095975,521798,464776,1110943,913547,203227,826184,570484,514156,1167149,1053620,184081,559019,665793,437261,1118890,907089,248184,1255905,1184111,643829,1530641,1520061,193277,1254705,919030,435689,1355332,1493699,502210,1928976,1637541,977288,1853211,1774932,393501,1592221,1299616,842788,1696866,1463348
"21","GC_024","trans-4-Hydroxy-L-proline",230,NA,NA,NA,NA,"C5H9NO3","131.0582439","Amino Acids",NA,18449,49667,25507,25353,57032,38427,20066,49067,30692,30840,54332,47552,17508,74177,47047,29801,59071,70207,17121,75793,34585,36576,69341,68545,14553,57535,38939,39140,65949,49373,15344,43472,53655,37954,65718,65564,25075,79083,92094,42288,72737,82263,21596,90812,93466,30988,81170,90827,47027,178881,118157,67378,109586,116621,43332,194583,115101,68228,109189,114834
"22","GC_025","4-Aminobutanoic acid",174,NA,NA,NA,NA,"C4H9NO2","103.0633",NA,NA,12619,58284,29766,37670,71161,30095,31679,58907,49398,53841,56571,91142,50905,78863,74928,59277,100171,87662,24363,85990,29556,38345,116994,113983,34945,118077,91421,73166,102980,27063,45962,47139,54437,35862,100507,141183,38856,176183,138122,77867,72247,172520,52796,259019,171804,21235,239345,122459,87610,142422,175342,128686,207864,199917,97946,325215,223109,52268,218777,88088
"23","GC_026","L-Aspartic acid",232,NA,NA,NA,NA,"C4H7NO4","133.037508","Amino Acids",NA,2441575,4753672,2747502,2811020,4643082,4188473,2274150,4490613,3809512,2661995,4466957,3967968,2322160,4905751,4552384,3392086,4959600,4406962,1825420,4949968,3665368,3075052,4775941,4435966,1856714,4512726,4023143,3714252,4779532,4359271,1321000,3618780,4162675,2814706,4442022,4395665,2795709,4839884,4527725,3748447,4860813,4753184,1723553,4346542,4027593,2242216,4410335,4824852,3926229,4832714,4839481,4540121,4636324,4784803,2860405,4566073,4429699,3901301,4839096,4804749
"24","GC_027","L-Threonic acid",292,NA,NA,NA,NA,"C4H8O5","136.0372",NA,NA,29377,82386,33721,33517,74936,60407,27527,67957,49953,32129,69429,55132,27849,114787,71161,42556,100063,69379,21117,100899,47960,38929,86733,75911,21035,80591,57364,48116,89360,69303,14665,48081,59520,34343,70062,65969,33565,89310,77352,48902,98521,101114,19763,72270,58004,27410,71778,87231,53512,131900,105801,72533,125778,123277,34958,90135,70334,52475,105174,90193
"25","GC_032","L-Asparagine",188,NA,NA,NA,NA,"C4H8N2O3","132.0534925",NA,NA,2394,9842,4427,9063,21026,12300,3872,10371,3912,6682,29566,13615,2376,36161,9265,6509,16536,22367,3360,38755,6072,18527,25318,19121,1513,12408,8163,11040,24436,18260,1333,6234,14132,19176,33549,25097,2971,23042,27112,14954,55561,22403,2474,21780,19666,7603,26914,53268,7345,95603,27690,18755,34361,32556,4777,42907,37631,23265,56846,48156
"26","GC_034","L-Ornithine",142,NA,NA,NA,NA,"C5H12N2O2","132.089878",NA,NA,39457,47506,42664,30889,91376,57009,34704,59303,29963,32638,105359,61541,14043,83706,51979,30966,47203,137109,23127,96954,61672,80728,98314,107093,14996,50801,44200,44583,90609,124317,14783,83286,85723,90042,135400,140899,29181,58175,146241,46969,128194,77292,36089,77019,154467,67783,73939,133438,44726,235597,157831,75129,96412,99553,49573,212046,184753,118625,110290,190548
"27","GC_036","D-Xylose",103,NA,NA,NA,NA,"C5H10O5","150.052823",NA,NA,10246,19809,11776,13132,27007,17129,10514.82,20281,15751,17254,24499,21331,11657,33258,23987,19250,35258,31716,10628,37624,19205,19800,30856,32268,9360,31810,24064,24627,35099,31594,9148,27146,28836,18590,37212,33364,12600,49510,53390,32067,48430,53744,10500,57593,41549,21170,48376,47437,22532,110653,70481,41039,76573,77362,17976,11317.04,60666,37354,11502.12,55877
"28","GC_037","Pyroglutamic acid",156,NA,NA,NA,NA,"C5H7NO3","129.0425938",NA,NA,4176589,9792760,5659333,5530230,9354457,7612005,4911075,9446531,7369839,6553999,9437551,8944242,5185849,11193464,9981834,7266090,10916258,10468344,4333787,11178391,8190593,7288350,11232468,10450076,3998356,10447993,9559437,8387734,10980090,9746008,4479176,9276206,10268876,6913045,11209083,11096399,5395458,11330724,10964311,8463396,11143439,11048454,4951231,10853408,10886329,6270609,11010786,11235390,9608873,11327482,11254227,10467260,11005700,11263097,8164625,10626068,11182451,9936533,11143219,11231685
"29","GC_040","Nicotinamide",179,NA,NA,NA,NA,"C6H6N2O","122.0480125",NA,NA,38719,135945,61387,44936,120973,68490,35760,125123,72933,62558,121853,103255,39197,213401,108322,69137,190494,178159,30673,178075,84605,70195,205822,213199,27340,194088,111326,92230,169149,140931,30791,101145,153969,69372,153836,174186,41310,274959,238026,70418,143086,215415,34688,248680,221301,70433,220722,159027,79084,394338,288281,134497,351269,301872,76558,508448,253992,136416,257626,227657
"30","GC_041","Putrescine",174,NA,NA,NA,NA,"C4H12N2","88.100048",NA,NA,14933,145697,77884,67701,150397,59010,56684,155898,128959,110594,119895,185371,78718,212451,179758,114406,321547,219238,41032,203567,69391,58776,322915,309200,49425,243340,165614,113450,247329,42514,70660,87159,85842,43689,196911,310555,47753,311933,246606,120489,87106,286218,67439,352358,265769,17086,283287,163554,115059,268917,313290,178406,332140,366748,111120,447614,365818,50469,338960,143528
"31","GC_042","D-Fucose",117,NA,NA,NA,NA,"C6H12O5","164.0684752",NA,NA,20713,65484,33477,28621,71093,49500,24971,60626,40810,32053,67111,58845,26345,102097,67544,35994,94424,98618,25051,108376,55175,42721,100595,95778,18814,85037,55727,44975,95225,82331,20848,67191,79151,43973,107328,102526,24855,106826,102975,45928,118015,119408,23162,117000,108745,36316,127333,111834,42193,148809,133101,66115,138175,127580,38424,145075,124744,65510,140455,111709
"32","GC_043","alpha-Ketoglutaric acid",198,NA,NA,NA,NA,"C5H6O5","146.021523",NA,NA,4176,18498,6968,6685,9445,9359,4812,10814,8080,4627,7254,10779,6788,17139,13425,3964,15915,19676,7586,12708,10737,8147,13077,17647,6161,16741,17304,8572,14099,23629,7181,8120,24606,8110,24880,24611,7672,39298,43083,9121,30925,39698,6518,35247,45997,8295,42098,57045,17364,54506,44343,13272,24863,66660,15498,46573,48435,11492,44864,60367
"33","GC_044","L-Phenylalanine",192,NA,NA,NA,NA,"C9H11NO2","165.079",NA,NA,152326,333157,214471,175422,416916,277457,170853,343846,217700,209367,464629,369748,113690,580057,338428,213716,423778,699420,134438,656153,309023,314438,584707,580468,111488,414624,264142,289776,545244,477247,119038,384222,475870,345184,623357,599803,172534,522394,721902,322353,843437,645815,183255,631486,795411,277701,731228,778197,297411,1345106,830293,488313,937961,845520,299607,1268608,937096,578436,926727,1063910
"34","GC_045","Taurine",326,NA,NA,NA,NA,"C2H7NO3S","125.014664",NA,NA,618747,674844,385324,331175,790727,2095440,573879,706713,217501,225494,1429858,367009,139633,1736735,717930,245291,582481,2169056,453378,1737998,1871933,921852,1433630,683764,52122,658660,317616,365109,1407651,2585928,110262,2160334,1913663,950620,2439061,1483808,345395,673942,1173857,669903,2186397,536221,264303,797567,1222964,1666471,671810,2359905,580812,2121140,1424863,483513,767477,924782,494904,932880,1273953,2502918,1854222,2698710
"35","GC_046","2-aminoadipate",260,NA,NA,NA,NA,"C6H11NO4","161.068808",NA,NA,5623,11955,4454,4296,11056,7244,6752,11965,5104,4665,11278,7905,4038,22455,10575,4273,11758,17096,5437,23662,8477,6898,17568,12746,3045,11458,7924,5548,14973,13267,3520,11423,13607,7014,17959,15704,5775,20603,27241,8000,25496,20880,5194,26108,26359,6233,23154,30702,13764,67583,39955,14550,31717,36069,12238,60137,44701,19209,47328,46239
"36","GC_047","1,6-Anhydro-beta-D-glucose",204,NA,NA,NA,NA,"C6H10O5","162.0528252",NA,NA,4010,4745,2770,2280,5660,9777,2443,4700,3561,2861,7437,3964,1891,9115,4363,4204,9040,11655,2566,8823,7628,5399,7117,8386,1820,4888,3057,4598,8852,18154,1362,8832,9739,5447,14575,8153,2663,7423,7938,4867,13933,8352,1783,6291,7377,11681,6440,14085,3890,16734,10351,6759,10631,10856,3589,8885,7495,15837,9578,19390
"37","GC_048","alpha-D-Glucose 1-phosphate",217,NA,NA,NA,NA,"C6H13O9P","260.029723",NA,NA,45463,72573,42724,39448,83136,115410,28585,74354,51344,46767,107084,65677,26488,136750,70797,58832,123083,150962,31349,132957,99399,76010,119589,123562,24013,89908,63334,63388,139300,240782,21153,116660,139003,75277,208139,137757,34500,131365,130157,68397,200466,144162,26177,124865,123110,133957,123951,204659,31310.53,235872,166661,104436,194888,177925,52482,171073,140865,217659,185595,307375
"38","GC_052","D-Tagatose",103,NA,NA,NA,NA,"C6H12O6","180.063388",NA,NA,409810,1050581,672074,446759,1034726,799792,397648,1057149,785396,510451,1021420,922136,392704,1167559,982611,577806,1177887,1347313,376944,1230972,882979,740390,1316788,1246742,304152,1019993,833454,721394,1073850,906371,335299,997369,1007128,755083,1230223,1199187,342604,780361,904616,562704,1003738,910540,335040,829880,835206,491923,1019915,955809,436199,1121568,991396,568760,1085920,1062855,423410,1034176,933116,608933,1079321,969041
"39","GC_053","sn-Glycerol 3-phosphate",299,NA,NA,NA,NA,"C3H9O6P","172.013675",NA,NA,804038,2173846,1418303,934841,2133191,1671343,820094,2189390,1663383,1086050,2124743,1903511,826152,2380789,2061256,1235106,2388523,2648569,761853,2478004,1853115,1563934,2570764,2414598,626188,2068253,1750816,1551508,2216294,1908084,689370,2095270,2114505,1587770,2472464,2411655,702680,1671282,1917108,1196170,2109660,1910551,684833,1746545,1787568,978971,2092219,2028053,913988,2355963,2102146,1193676,2260066,2210441,878236,2132145,1972481,1289040,2246501,2063251
"40","GC_055","D-Fructose",103,NA,NA,NA,NA,"C6H12O6","180.063388",NA,NA,465761,599375,465499,258313,462622,529351,720585,866471,611920,411096,711736,830946,279512,1023981,530187,564574,746678,907195,301143,1150539,461772,424088,1070982,1495869,208050,821807,532096,400869,334599,1267253,152924,790000,919105,260454,1043611,1219741,589266,449795,693002,459621,697132,904500,419027,1061682,839710,309460,583583,1135510,250356,1016625,581696,618887,921675,558256,238770,1090285,961544,1026834,933879,1011540
"41","GC_059","Citric acid",273,NA,NA,NA,NA,"C6H8O7","192.027003",NA,NA,323015,629347,370271,441615,918099,835844,360922,627624,503893,422937,763775,870990,384115,834129,722918,575295,1100420,1199443,334920,806648,584654,603235,1226013,1421959,316224,799554,746982,723301,1306203,1466235,335993,587425,683421,556670,1513059,1366915,439054,1274437,1240631,772281,1577335,1973875,367754,1336290,1325200,599318,1673052,2120288,676559,1501586,1300191,1201598,2102839,2644522,631273,1570389,1289065,1143551,2186656,2239388
"42","GC_060","L-Glutamine",156,NA,NA,NA,NA,"C5H10N2O3","146.0691426","Amino Acids",NA,5780755,7545208,6002513,5560233,7343348,7610878,6113388,7579586,5552311,5331714,7714538,7374786,4109978,8295737,7541621,5775632,6344924,8301268,5017020,8504192,6856253,6224992,8157010,7212577,3790080,6328082,4395383,4891227,8299101,7814704,3725235,6852016,7673098,6253307,7868989,8030374,5694095,8034697,8243367,6407700,8391550,7915721,5252861,8003588,8185143,5361332,8186795,8283108,7533142,8260616,8356394,7734126,6960856,8191348,7530347,7713509,8254475,8010611,8155972,8194465
"43","GC_061","D-Glucose",319,NA,NA,NA,NA,"C6H12O6","180.063388",NA,NA,142549,45306,44526,16908,28724,58339,275389,117243,50284,32953,41599,185231,118611,112790,36391,69318,124450,81921,117053,125335,53124,22323,219824,377617,91721,63961,45571,18764,27955,550350,23245.39,70641,99904,15546,131060,342591,297457,48548,71565,26334,51512,84108,267402,108808,84331,26414,39965,175694,16045,84015,48951,67381,41387,53542,18553,57401,71398,102024,83928,120650
"44","GC_062","L-Citrulline |L-Arginine",157,NA,NA,NA,NA,"175.0956913 | 174.111676","C6H13N3O3 | C6H14N4O2",NA,NA,5983,8652,8025,6040,15840,8278,6439,11163,6922,7219,14788,14424,4356,14585,9596,7473,10885,22810,4006,16185,8224,10978,20768,25650,4360,9252,8524,9177,17376,20288,4317,11075,11632,11596,18605,27461,5967,13317,28519,9011,18161,18820,7022,18909,29124,8509,18864,26860,9213,46404,31492,17062,18234,24560,8868,52822,36747,15156,28406,29835
"45","GC_065","L-Lysine",174,NA,NA,NA,NA,"C6H14N2O2","146.1055276","Amino Acids",NA,89513,320415,277000,227794,529226,203676,218040,424412,310195,326566,455917,594111,121561,422781,388714,316009,400899,738360,91484,446177,209298,277691,695475,1050697,135337,517222,484790,420437,585925,280765,165133,325075,299520,238801,698552,1038322,186944,526530,974921,344115,392715,710080,276352,750741,1085642,103166,653634,654011,359268,1164030,1048815,683990,776205,979393,366410,1906910,1359710,306182,845225,733829
"46","GC_068","Methyl-beta-D-galactoside",133,NA,NA,NA,NA,"C7H14O6","194.0790403",NA,NA,1095351,1682128,1228577,1126703,1779672,1674345,1102550,1660818,1338204,1216319,1782537,1664356,1172128,1905975,1697385,1349010,1851035,1908411,1177144,1910953,1696715,1476866,1867932,1824410,974901,1784724,1661857,1510710,1924477,1955261,1033645,1788338,1813893,1525100,1908842,1903717,1272132,1884294,1949138,1610647,1950466,1852717,1190020,1895021,1950524,1519985,1909458,1929872,1714691,1171568,1933850,1862351,1150400,1900887,1649425,1112801,1936824,1935896,1167161,1973526
"47","GC_069","myo-Inositol",217,NA,NA,NA,NA,"C6H12O6","180.0633903",NA,NA,4235215,5065933,4414169,4277574,5084830,5210516,4220372,5079547,4739644,4371012,5150681,4924902,4258163,5015774,5118579,4741207,5022764,4976935,4437895,5056948,5190678,4996386,4896182,4682413,3894699,4731805,4958580,4999703,4898204,5036717,3989906,5228275,5126989,5057552,4940434,4945113,4571034,4909713,4837634,5109646,5025367,4763378,4416634,4660838,4782754,5005767,4731694,4980613,5096604,4961163,4905633,4877694,4329121,4860148,5137082,4629620,4886451,5137742,4844666,4983893
"48","GC_071","L-Tyrosine",218,NA,NA,NA,NA,"C9H11NO3","181.0738939","Amino Acids",NA,879378,1122068,936708,896501,1163504,1127590,878099,1122876,1009991,930955,1193231,1101011,902577,1496831,1133691,1016305,1157537,1971880,925603,1731728,1129968,1071108,1697219,1611036,804651,1098418,1104774,1084309,1507238,1295807,832425,1155980,1180651,1086965,1731206,1745476,970762,1376775,2187187,1115311,2212085,1685762,929213,1729925,2386078,1070416,2022570,2252649,1131870,3361234,2368458,1297173,2264079,2274814,1129696,3661276,2703407,1482299,2544726,2901634
"49","GC_073","L-Histidine",154,NA,NA,NA,NA,"C6H9N3O2","155.0694762","Amino Acids",NA,12562,48535,26254,23460,79117,27718,24014,51836,12577,20177,75746,39658,5263,97059,46938,12786,26967,111957,14027,105758,30892,53148,103110,63647,4232,35858,24099,22287,86528,57077,4699,48072,64771,61823,113991,119400,19696,43844,148573,48528,134970,59862,25527,75628,153082,28297,100122,148135,44470,268593,161715,57616,78384,85392,44201,234144,207495,76985,175436,167954
"50","GC_074","Adenine",264,NA,NA,NA,NA,"C5H5N5","135.054495",NA,NA,36519,125620,94326,94459,136738,70117,77993,123266,98161,117584,133929,138096,89602,129794,114061,92659,134313,169041,58918,138899,65220,96592,154743,166206,60645,150954,120747,123212,127208,85008,78681,76368,106639,97358,149850,168419,81317,155196,185651,116948,140088,183424,88457,206579,175407,43377,195853,158402,105716,188105,190478,131837,179288,197069,99902,199411,200027,93330,189528,140436
"51","GC_076","Spermidine",174,NA,NA,NA,NA,"C7H19N3","145.157897",NA,NA,1735,21839,24335,24664,37467,7584,18661,40803,14487,20206,39740,51964,20054,30427,25380,24371,46435,55415,10729,34678,6776,16521,75473,68451,7065,62642,38140,36974,63507,6049,5299,8350,12941,12119,52786,68189,13946,54018,53594,36148,18851,48703,21948,83558,54785,2587,71658,31419,39242,38645,51704,47749,51186,65397,16187,104198,61155,8080,84606,23730
"52","GC_077","Cysteinylglycine",220,NA,NA,NA,NA,"C5H10N2O3S","178.0412133",NA,NA,43184,117465,65114,104552,136642,125153,57984,124853,58420,123755,143500,115141,55443,185139,111561,79749,100719,144027,48657,139497,74133,129936,165341,119595,29728,145230,110572,130378,130122,96312,25652,107568,87470,98488,312973,140271,57542,151877,105322,114643,109982,115349,45059,182011,94769,70514,98317,126103,140455,163760,143246,143334,381503,134929,80558,183811,118003,124564,449982,104157
"53","GC_078","L-Tryptophan",202,NA,NA,NA,NA,"C11H12N2O2","204.0898776","Amino Acids",NA,64991,131154,97566,79829,182513,107639,75409,148909,87923,95517,193475,156519,45176,211091,144163,88959,156635,288933,56818,225911,117045,137611,223023,238270,38959,165246,106653,127188,217553,174166,43532,135399,161040,144437,228071,249249,75614,195506,282890,141003,261389,231959,76104,252585,309707,110067,290157,276073,135198,474169,322778,210570,322909,313727,130333,569591,363783,203571,367355,356014
"54","GC_079","Sucrose",361,NA,NA,NA,NA,"C12H22O11","342.116212",NA,NA,18768,41266,20176,19121,42128,22898,30848,36594,18972,24469,37419,42691,32688,48620,37110,35003,51806,53987,29733,53043,25982,45271,72824,68974,15761,42865,44536,36739,59332,61456,16132,42386,28426,28438,66307,91361,45985,67174,67447,30624,48161,78209,53967,90309,54977,19828,64007,58006,29569,94427,83502,63478,59053,74064,25931,116364,90987,43981,87458,50003
