"","Peak_ID","Compound_Name","mz_mean","mz_diff_ppm","RT_diff","Adduct","Synonym","Chem_Sum_Formula","Exact_Mass","Lipid_Class","FA_composition","R1_06D","R2_06D","R3_06D","R4_06D","R5_06D","R6_06D","R1_06M","R2_06M","R3_06M","R4_06M","R5_06M","R6_06M","R1_12D","R2_12D","R3_12D","R4_12D","R5_12D","R6_12D","R1_12M","R2_12M","R3_12M","R4_12M","R5_12M","R6_12M","R1_24D","R2_24D","R3_24D","R4_24D","R5_24D","R6_24D","R1_24M","R2_24M","R3_24M","R4_24M","R5_24M","R6_24M","R1_48D","R2_48D","R3_48D","R4_48D","R5_48D","R6_48D","R1_48M","R2_48M","R3_48M","R4_48M","R5_48M","R6_48M","R1_72D","R2_72D","R3_72D","R4_72D","R5_72D","R6_72D","R1_72M","R2_72M","R3_72M","R4_72M","R5_72M","R6_72M"
"389","LP_22839","PC 34:4",754.5354276,NA,NA,"[M+H]+",NA,"C42H76NO8P","753.530857","Phosphatidylcholine","14:0/20:4 | 16:2/18:2 | 16:3/18:1 | 16:0/18:4 | 16:1/18:3",4860177,8838164,10539253,6966792,5958048,10327220,4983020,7788162,7358594,8801866,10592983,13828118,5591465,11166209,11200370,11377945,10745248,13578631,5404794,10208191,11432007,9428088,11026959,13494737,3207013,10012538,7857700,7644815,12694956,14226260,3599576,7938978,11483677,8434240,8644732,12209693,3822642,6332559,9971685,7573250,7735258,10615070,3463097,5262225,9877668,6637014,9912342,10579402,2895199,7690518,8563547,6094934,9275975,7426102,2752029,8341404,6584186,5313566,9184432,11209898
"390","LP_22845","PE 37:4",754.5366449,NA,NA,"[M+H]+",NA,"C42H76NO8P","753.530857","Phosphatidylethanolamine","17:0/20:4",2030888,2618616,3764100,2018919,1743480,1972198,1794481,2361874,2318910,2026267,1739922,1978618,2347468,2236780,2955414,2258107,2014736,1923475,2685030,2001187,3362365,2261658,1637003,1883662,2434398,2728237,2672069,1712840,2131997,2018107,2264618,3251206,3340474,2281114,2054208,2075436,3275272,2131475,2305124,2534406,2071872,1728913,2801312,2047211,2101502,2785161,1746731,1810630,2540632,1523413,1842959,1826940,1658486,918775,2139352,1837644,1938638,2324208,1430084,1694836
"391","LP_22924","PC 34:3",756.5511132,NA,NA,"[M+H]+",NA,"C42H78NO8P","755.546507","Phosphatidylcholine","16:0/18:3 | 16:1/18:2",1630557,2614244,1703588,3419622,3252118,4347048,1782392,1989056,1079528,3646717,4153694,4917575,1191758,2939113,2074226,3706300,4070055,5285698,1543367,2944102,1837271,3189816,3920955,5047155,667156,2692218,1928983,2506184,5653747,5748237,767800,2189760,3381305,3488094,3733751,5401634,1054783,4567387,9257456,2981267,7706006,8941924,1047946,4038150,9842752,2691763,6980865,9164002,2200017,18665816,16624312,7237865,21524528,15309330,1959196,19620282,15930312,7430494,18025208,18697938
"392","LP_22926","PC 34:3",756.54952,NA,NA,"[M+H]+",NA,"C42H78NO8P","755.546507","Phosphatidylcholine","16:2/18:1 | 16:0/18:3",768528,1109042,970872,902481,1021678,1737458,589148,1273995,755533,734118,1349746,1430658,567930,2130526,1496434,1283242,1936038,3019958,836030,1926968,1752153,1590682,2140319,2811282,474966,1650060,1249598,1021190,2628579,3724768,551889,2070434,2749259,1568216,2246027,2869829,1417636,4289312,6335991,3102676,4357808,5411336,1156452,3667041,7422571,2905626,3770767,4854451,2612892,4758733,6628810,5795191,4809400,4136375,2192387,4712066,6622690,5494711,4503318,5698679
"393","LP_23084","PC 34:2",758.5694698,NA,NA,"[M+H]+",NA,"C42H80NO8P","757.562157","Phosphatidylcholine","16:1/18:1 | 16:0/18:2",1805388,2384706,2319863,1094837,2065440,3473436,2099491,1932090,761748,1644934,3670653,3740438,1619309,3316880,2005116,2611916,4733466,4802264,2130828,3848586,2452792,2692518,3763324,4389392,575043,3267674,1588666,1720114,5635080,8593224,732364,2070912,4223014,3056366,4901784,4936648,1022380,2549680,4210996,2120094,3285072,2877004,1722686,1203794,4794816,2147290,2209300,2649092,1432901,2666740,971976,2984178,1053310,1059068,1329917,1028216,2653240,1664514,1065590,3511824
"394","LP_23085","PC 34:2",758.5678733,NA,NA,"[M+H]+",NA,"C42H80NO8P","757.562157","Phosphatidylcholine","16:2/18:0 | 16:1/18:1",770330,2363973,1974863,1273304,1457801,2113112,661596,2123385,1440717,1364698,2167498,2376164,617769,3931370,2452461,2088247,3232557,4629321,988045,3435069,2526136,2356819,3256157,4634764,506734,3626842,2410697,1894973,5394146,6953156,561616,2998609,4982856,2339842,3881666,5473196,1877926,9399468,14762486,5030026,10626840,14683300,1775756,8276656,16078790,5435114,11258696,14104674,5210245,14154139,18217430,12743336,15138663,11244492,3628516,17862586,19267992,13321166,15189212,18270992
"395","LP_23203","SM 38:1",759.6369644,NA,NA,"[M+H]+",NA,"C43H87N2O6P","758.630176","Sphyngomyelin",NA,645694,709960,732726,545282,464299,707706,604660,832019,465958,484015,658280,675989,539144,713931,820501,795414,626134,775827,843403,809512,926380,743028,665546,794078,442178,579478,578295,601688,1040122,1349592,403966,887072,1068245,536529,648748,951192,532004,768922,1175033,774003,718066,907755,558237,534513,1400995,634633,554127,1373377,762048,903418,1375880,931031,1207629,549894,639501,1151312,1447918,1277251,946837,1807418
"396","LP_23730","PE 38:6",764.520122,NA,NA,"[M+H]+",NA,"C43H74NO8P","763.515207","Phosphatidylethanolamine","18:1/20:5",2212140,5686957,5923031,3685527,3771256,4059492,2207966,4704356,3201326,3860328,4609377,5799108,2423947,5365818,5547054,5163008,5372477,6763706,2380798,5122746,6394437,3431892,5205784,6811005,1390776,6144470,5272790,3021482,7211294,8115558,1647968,5115826,6965330,3152381,4536457,7470396,2850516,4962211,7578288,5671958,5074359,7014770,2178796,4933192,8144673,4715837,5793443,6208892,4899186,4187839,7876188,6656976,7327168,2685126,3261093,7599834,6934230,7342318,5853891,6964412
"397","LP_23731","PE 38:6",764.5200153,NA,NA,"[M+H]+",NA,"C43H74NO8P","763.515207","Phosphatidylethanolamine","16:0/22:6",5646762,7160993,8275248,4671718,4938563,4698362,5391991,5969262,4364740,4298012,5503383,6062760,6144842,5835890,6769772,5914914,6143940,7055280,6598742,5367184,7818502,4841247,5628579,6835244,4729561,7029240,6533502,4494068,8085995,8431805,5046550,6923700,8070827,4908864,6066210,7612685,6280410,4824950,7168972,6706183,5972832,6452619,4712786,4926658,7194231,6366520,5766968,6887024,6402624,4062094,6790788,5830170,8477222,3178152,5097088,6508098,6476504,7796036,6351048,7401552
"398","LP_23853","PE 38:5",766.5363464,NA,NA,"[M+H]+",NA,"C43H76NO8P","765.530857","Phosphatidylethanolamine","16:0/22:5 | 18:1/20:4",2064372,2206865,2525384,1315259,1329655,1426719,2015804,1956835,1553795,1227865,1704314,1633466,2235344,1598850,2399134,1738736,1610657,1920579,2702803,1486667,2799698,1855328,1519158,1778582,1861557,2411418,2418459,1596997,2063172,2020624,1877554,2706314,2809146,1712346,2092567,2014763,2660273,1282821,1997334,2388087,1779098,1518614,1807870,1245421,1880128,2069875,1570559,2194451,1998265,1151212,1975886,1663450,2029502,876793,1579970,1494719,1856767,2191095,1788076,1887002
