Sample_ID	Msrt_Day	Msrt_Order	Msrt_Date	Msrt_Time	Group	Organism	Cell_Line	Cell_Number	Time_point	Treatment
R6_48D	2	49	25/07/2018	20:16	DMSO_48	Human Breast Cancer Cell line	MDA_MB_231	37000000	48 hour	DMSO
R6_12M	2	50	25/07/2018	21:06	MKC8866_12	Human Breast Cancer Cell line	MDA_MB_231	25000000	12 hour	MKC8866
R1_12D	2	51	25/07/2018	23:34	DMSO_12	Human Breast Cancer Cell line	MDA_MB_231	7400000	12 hour	DMSO
R3_24D	2	52	26/07/2018	00:23	DMSO_24	Human Breast Cancer Cell line	MDA_MB_231	17500000	24 hour	DMSO
R6_06M	2	53	26/07/2018	01:13	MKC8866_6	Human Breast Cancer Cell line	MDA_MB_231	20000000	6 hour	MKC8866
R1_24M	2	54	26/07/2018	02:02	MKC8866_24	Human Breast Cancer Cell line	MDA_MB_231	6000000	24 hour	MKC8866
R4_72D	2	55	26/07/2018	02:52	DMSO_72	Human Breast Cancer Cell line	MDA_MB_231	23500000	72 hour	DMSO
R2_72M	2	56	26/07/2018	03:41	MKC8866_72	Human Breast Cancer Cell line	MDA_MB_231	45000000	72 hour	MKC8866
R2_24D	2	57	26/07/2018	04:30	DMSO_24	Human Breast Cancer Cell line	MDA_MB_231	22500000	24 hour	DMSO
R2_48M	2	58	26/07/2018	05:20	MKC8866_48	Human Breast Cancer Cell line	MDA_MB_231	31500000	48 hour	MKC8866
R4_06M	2	59	26/07/2018	06:09	MKC8866_6	Human Breast Cancer Cell line	MDA_MB_231	10000000	6 hour	MKC8866
R5_48M	2	60	26/07/2018	06:59	MKC8866_48	Human Breast Cancer Cell line	MDA_MB_231	41000000	48 hour	MKC8866
