D8R1	D8R2	D8R3	M8R1	M8R2	M8R3	D24R1	D24R2	D24R3	M24R1	M24R2	M24R3
hsa-let-7a-2-3p	5.60693187165131	5.52235424834675	5.14847559154555	5.5373148583076	5.27289944937986	5.24635169201743	5.46058498044215	4.81173934601305	5.24635169201743	5.49414983651996	5.24635169201743	4.6740098931646
hsa-let-7a-3p	4.11374146386658	3.56319514804661	2.96149182646799	3.60750284257329	2.30154069654657	3.677088563211	3.94941834473472	3.91711732637032	3.19140659285078	3.50998255272939	3.82873184144321	3.87089263265673
hsa-let-7a-5p	14.1493620972626	14.1493620972626	14.0554349046512	14.1493620972626	14.4638117533642	14.0554349046512	13.7877022898121	14.7170272645621	14.1493620972626	13.689303427601	14.7170272645621	14.4638117533642
hsa-let-7b-3p	4.91748403103185	4.68108283957069	3.96583090901895	4.27933837517907	4.28117125842474	4.45798884416482	4.36190685293195	4.22312696385586	4.37552934098053	4.03713136727878	4.20692435062184	4.30623088301883
hsa-let-7b-5p	11.2300967730172	11.464828261966	11.2623967579386	11.464828261966	11.3993538744792	11.464828261966	11.3223627409226	11.5838954428712	11.3993538744792	11.2623967579386	11.5838954428712	11.464828261966
hsa-let-7c-3p	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	1.33051194724631	1.33051194724631	0.875138232714988	0.875138232714988	1.33051194724631
hsa-let-7c-5p	7.13198403324127	7.32907099396235	7.22205936412147	7.64895836742105	7.27209574890077	7.53223752785698	7.4578132870896	7.95624639554174	7.32907099396235	7.15531749813951	7.76694603098575	7.67384669727333
hsa-let-7d-3p	9.7023352037327	9.10523040906895	8.86080782629688	9.14748174305728	8.65301162298069	9.02186995357041	8.65301162298069	8.69562825830658	9.04220525966142	8.96470282728091	8.58223331524708	8.86080782629688
hsa-let-7d-5p	9.44525255899709	9.20977433232208	9.44525255899709	9.44525255899709	9.1941756803383	9.41322599132006	8.99328639042566	9.61469394058899	9.27061459169699	9.10523040906895	9.49698676469739	9.44525255899709
hsa-let-7e-3p	5.72705302899221	5.6532544715454	5.2994472067423	5.46058498044215	5.58393517197525	5.59465062334222	5.5373148583076	5.46058498044215	5.82565609822797	5.46058498044215	5.68648149839348	5.83595419344481
hsa-let-7e-5p	10.8141959683574	11.2300967730172	11.2300967730172	10.8833228012878	11.0896186484705	11.0510578040215	10.8833228012878	11.2623967579386	10.685253081102	10.8833228012878	11.3223627409226	11.2300967730172
hsa-let-7f-1-3p	2.88083546594964	3.40952686550193	3.96583090901895	3.4505570946224	3.76751608958171	3.96583090901895	3.7932411212386	4.27933837517907	3.83614846325582	3.82131521963061	4.04982687258121	3.78436898462919
hsa-let-7f-2-3p	1.7625558768368	0.875138232714988	1.26272572344749	1.43711756147239	0.875138232714988	0.875138232714988	2.62166769086542	0.875138232714988	0.875138232714988	0.875138232714988	1.59491174486591	1.33051194724631
hsa-let-7f-5p	12.5777676098828	13.3991177973053	13.689303427601	12.6854246041779	13.689303427601	13.3991177973053	13.1913049456267	13.9386573199173	13.1913049456267	12.9564001162082	13.9386573199173	13.3991177973053
hsa-let-7g-3p	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	1.04614692036638	0.875138232714988	0.875138232714988	0.875138232714988	1.34428016901228	1.26272572344749	1.82987174974504
hsa-let-7g-5p	12.4575313160143	13.1913049456267	12.9564001162082	12.9564001162082	13.1913049456267	12.9564001162082	12.6854246041779	13.1913049456267	12.9564001162082	12.7805937517423	13.1913049456267	13.1913049456267
hsa-let-7i-3p	2.88083546594964	1.52869466134413	1.7625558768368	2.58423518285918	0.875138232714988	1.82987174974504	3.21876347740855	1.33051194724631	2.58423518285918	2.46369081894925	2.62166769086542	2.48298157461124
hsa-let-7i-5p	15.0721542765388	15.5090939401018	15.0721542765388	15.2793824325448	15.5090939401018	15.2793824325448	15.2793824325448	15.5090939401018	15.2793824325448	15.0721542765388	15.2793824325448	15.5090939401018
hsa-miR-100-3p	0.875138232714988	0.875138232714988	1.26272572344749	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	1.33051194724631	1.33051194724631	0.875138232714988	0.875138232714988	0.875138232714988
hsa-miR-100-5p	19.1115537731607	19.1115537731607	19.1115537731607	19.1115537731607	19.1115537731607	19.1115537731607	19.1115537731607	19.1115537731607	19.1115537731607	19.1115537731607	19.1115537731607	19.1115537731607
hsa-miR-101-2-5p	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988
hsa-miR-101-3p	5.12909129960207	5.52235424834675	5.40575861247318	4.98799475243064	5.96595785646911	5.05582647003528	7.13198403324127	5.57321972060827	5.66986798496944	6.46174497987236	5.6532544715454	5.6192131199604
hsa-miR-101-5p	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988
hsa-miR-10226	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988
hsa-miR-10392-3p	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988	0.875138232714988
