pval	Fstat
hsa-let-7a-2-3p	0.748382721140628	0.784313725490197
hsa-let-7a-3p	0.748382721140628	1.19047619047619
hsa-let-7b-3p	0.748382721140628	1.19047619047619
hsa-let-7c-5p	0.748382721140628	0.428571428571427
hsa-let-7d-3p	0.748382721140628	1.19047619047619
hsa-let-7e-3p	0.748382721140628	0.784313725490197
hsa-let-7e-5p	0.748382721140628	0.784313725490197
hsa-let-7f-1-3p	0.748382721140628	1.19047619047619
hsa-miR-101-3p	0.748382721140628	1.19047619047619
hsa-miR-103a-3p	0.748382721140628	2.63440860215054
hsa-miR-10527-5p	0.748382721140628	2.33333333333333
hsa-miR-106b-3p	0.748382721140628	1.26262626262626
hsa-miR-106b-5p	0.748382721140628	1.19047619047619
hsa-miR-107	0.748382721140628	2.47474747474747
hsa-miR-10a-3p	0.748382721140628	0.428571428571427
hsa-miR-10a-5p	0.748382721140628	1.22549019607843
hsa-miR-10b-5p	0.748382721140628	0.428571428571427
hsa-miR-1180-3p	0.748382721140628	0.441176470588234
hsa-miR-122-5p	0.748382721140628	3.85714285714286
hsa-miR-1246	0.748382721140628	0.428571428571427
hsa-miR-1249-3p	0.748382721140628	3.85714285714286
hsa-miR-1257	0.748382721140628	2.33333333333333
hsa-miR-125a-3p	0.748382721140628	0.428571428571427
hsa-miR-125a-5p	0.748382721140628	1.19047619047619
hsa-miR-125b-5p	0.748382721140628	2.72222222222222
hsa-miR-1260b	0.748382721140628	0.428571428571427
hsa-miR-126-3p	0.748382721140628	0.428571428571427
hsa-miR-1266-5p	0.748382721140628	3.13725490196078
hsa-miR-128-1-5p	0.748382721140628	3.85714285714286
hsa-miR-1291	0.748382721140628	0.428571428571427
hsa-miR-1292-5p	0.748382721140628	0.428571428571427
hsa-miR-1296-5p	0.748382721140628	1.19047619047619
hsa-miR-1304-3p	0.748382721140628	2.33333333333333
hsa-miR-1306-3p	0.748382721140628	1.19047619047619
hsa-miR-1306-5p	0.748382721140628	1.22549019607843
hsa-miR-1307-3p	0.748382721140628	0.428571428571427
hsa-miR-130a-3p	0.748382721140628	2.33333333333333
hsa-miR-130b-3p	0.748382721140628	1.19047619047619
hsa-miR-130b-5p	0.748382721140628	0.441176470588234
hsa-miR-132-3p	0.748382721140628	2.33333333333333
hsa-miR-138-1-3p	0.748382721140628	0.428571428571427
hsa-miR-139-5p	0.748382721140628	0.428571428571427
hsa-miR-140-5p	0.748382721140628	3.85714285714286
hsa-miR-146a-5p	0.748382721140628	3.97058823529412
hsa-miR-146b-3p	0.748382721140628	0.428571428571427
hsa-miR-146b-5p	0.748382721140628	3.23232323232323
hsa-miR-148a-3p	0.748382721140628	0.428571428571427
hsa-miR-148b-3p	0.748382721140628	0.784313725490197
hsa-miR-148b-5p	0.748382721140628	0.428571428571427
hsa-miR-149-5p	0.748382721140628	2.33333333333333
hsa-miR-151a-3p	0.748382721140628	0.454545454545453
hsa-miR-152-3p	0.748382721140628	0.428571428571427
hsa-miR-15a-5p	0.748382721140628	0.428571428571427
hsa-miR-16-5p	0.748382721140628	0.441176470588234
hsa-miR-17-5p	0.748382721140628	2.63440860215054
hsa-miR-181a-2-3p	0.748382721140628	1.22549019607843
hsa-miR-181a-3p	0.748382721140628	0.784313725490197
hsa-miR-181a-5p	0.748382721140628	1.26262626262626
hsa-miR-181b-5p	0.748382721140628	0.808080808080809
hsa-miR-181c-3p	0.748382721140628	0.441176470588234
hsa-miR-182-5p	0.748382721140628	2.63440860215054
hsa-miR-1843	0.748382721140628	0.428571428571427
hsa-miR-185-5p	0.748382721140628	0.428571428571427
hsa-miR-186-5p	0.748382721140628	0.784313725490197
hsa-miR-18a-3p	0.748382721140628	1.19047619047619
hsa-miR-18a-5p	0.748382721140628	3.85714285714286
hsa-miR-191-3p	0.748382721140628	1.19047619047619
hsa-miR-193a-5p	0.748382721140628	1.19047619047619
hsa-miR-193b-3p	0.748382721140628	0.428571428571427
hsa-miR-194-3p	0.748382721140628	0.428571428571427
hsa-miR-194-5p	0.748382721140628	3.85714285714286
hsa-miR-195-3p	0.748382721140628	1.19047619047619
hsa-miR-197-3p	0.748382721140628	3.85714285714286
hsa-miR-19b-3p	0.748382721140628	1.19047619047619
hsa-miR-200a-3p	0.748382721140628	0.441176470588234
hsa-miR-200a-5p	0.748382721140628	1.19047619047619
hsa-miR-200b-3p	0.748382721140628	1.76470588235294
hsa-miR-204-5p	0.748382721140628	0.428571428571427
hsa-miR-20a-5p	0.748382721140628	2.33333333333333
hsa-miR-210-5p	0.748382721140628	1.19047619047619
hsa-miR-21-3p	0.748382721140628	0.428571428571427
hsa-miR-21-5p	0.748382721140628	2.47474747474747
hsa-miR-218-5p	0.748382721140628	1.19047619047619
hsa-miR-221-5p	0.748382721140628	0.808080808080809
hsa-miR-222-3p	0.748382721140628	0.833333333333334
hsa-miR-22-3p	0.748382721140628	3.85714285714286
hsa-miR-22-5p	0.748382721140628	1.19047619047619
hsa-miR-2277-5p	0.748382721140628	0.441176470588234
hsa-miR-23a-3p	0.748382721140628	0.428571428571427
hsa-miR-23b-5p	0.748382721140628	1.19047619047619
hsa-miR-24-3p	0.748382721140628	0.454545454545453
hsa-miR-25-3p	0.748382721140628	2.72222222222222
hsa-miR-25-5p	0.748382721140628	3.85714285714286
hsa-miR-26b-3p	0.748382721140628	0.483870967741934
hsa-miR-27a-3p	0.748382721140628	0.784313725490197
hsa-miR-27a-5p	0.748382721140628	0.428571428571427
hsa-miR-27b-5p	0.748382721140628	1.19047619047619
hsa-miR-28-3p	0.748382721140628	0.428571428571427
hsa-miR-28-5p	0.748382721140628	3.85714285714286
hsa-miR-29a-3p	0.748382721140628	3.13725490196078
hsa-miR-29a-5p	0.748382721140628	0.428571428571427
hsa-miR-29b-1-5p	0.748382721140628	3.85714285714286
hsa-miR-29c-5p	0.748382721140628	2.33333333333333
hsa-miR-3074-5p	0.748382721140628	0.428571428571427
hsa-miR-30b-3p	0.748382721140628	1.19047619047619
hsa-miR-30b-5p	0.748382721140628	1.19047619047619
hsa-miR-30c-2-3p	0.748382721140628	0.441176470588234
hsa-miR-30c-5p	0.748382721140628	0.483870967741934
hsa-miR-30d-3p	0.748382721140628	0.428571428571427
hsa-miR-30e-3p	0.748382721140628	1.22549019607843
hsa-miR-30e-5p	0.748382721140628	1.19047619047619
hsa-miR-3158-3p	0.748382721140628	0.428571428571427
hsa-miR-3173-5p	0.748382721140628	0.428571428571427
hsa-miR-3200-3p	0.748382721140628	1.76470588235294
hsa-miR-320a-3p	0.748382721140628	0.483870967741934
hsa-miR-320b	0.748382721140628	3.13725490196078
hsa-miR-320c	0.748382721140628	2.33333333333333
hsa-miR-320d	0.748382721140628	0.784313725490197
hsa-miR-324-3p	0.748382721140628	0.428571428571427
hsa-miR-330-3p	0.748382721140628	0.441176470588234
hsa-miR-330-5p	0.748382721140628	0.428571428571427
hsa-miR-331-5p	0.748382721140628	0.428571428571427
hsa-miR-335-3p	0.748382721140628	0.428571428571427
hsa-miR-340-3p	0.748382721140628	0.428571428571427
hsa-miR-340-5p	0.748382721140628	3.97058823529412
hsa-miR-342-3p	0.748382721140628	1.22549019607843
hsa-miR-34a-5p	0.748382721140628	2.33333333333333
hsa-miR-34b-3p	0.748382721140628	0.428571428571427
hsa-miR-3605-3p	0.748382721140628	0.428571428571427
hsa-miR-361-3p	0.748382721140628	0.784313725490197
hsa-miR-3615	0.748382721140628	2.33333333333333
hsa-miR-361-5p	0.748382721140628	3.13725490196078
hsa-miR-362-5p	0.748382721140628	3.85714285714286
hsa-miR-363-3p	0.748382721140628	1.76470588235294
hsa-miR-365a-5p	0.748382721140628	0.428571428571427
