FC..class1.class2.	P.value
ENSG00000204632	2.15714181674402	4.8e-12
ENSG00000269688	2.04037820152072	4.8e-12
ENSG00000237719	1.04097178105631	3.034e-10
ENSG00000092295	0.708396441969435	2.167e-08
ENSG00000269028	0.788115598059695	3.223e-08
ENSG00000164776	0.63486740654747	6.824e-08
ENSG00000236255	0.659494699326015	1.498e-07
ENSG00000260853	0.579921884020626	2.978e-07
ENSG00000267940	0.569393569070189	3.952e-07
ENSG00000230897	0.712645914970793	4.106e-07
ENSG00000224975	0.549831302691671	5.822e-07
ENSG00000136689	0.553426147453103	1.018e-06
ENSG00000238018	0.504100214293411	1.3e-06
ENSG00000249853	0.498994046858991	1.589e-06
ENSG00000143995	0.484388460507959	2.559e-06
ENSG00000180336	0.483177976554224	2.745e-06
ENSG00000242622	0.462753639020927	4.685e-06
ENSG00000100764	0.461362514829357	5.183e-06
ENSG00000270060	0.468531200589823	5.203e-06
ENSG00000279794	0.469929257774916	5.657e-06
ENSG00000111325	0.449887370352755	5.96e-06
ENSG00000235865	0.446148031818874	6.267e-06
ENSG00000243753	0.483581358366132	7.336e-06
ENSG00000260005	0.443595109961454	7.583e-06
ENSG00000198744	0.447131128988697	8.848e-06
ENSG00000183111	0.453043821858589	9.925e-06
ENSG00000169282	0.430508908041284	1.128e-05
ENSG00000167136	0.412538992622062	1.812e-05
ENSG00000189136	0.402778731599688	2.04e-05
ENSG00000238113	0.402016006210054	2.048e-05
ENSG00000267934	0.402016006210054	2.515e-05
ENSG00000258947	0.392137097168765	2.855e-05
ENSG00000265205	0.399539929883518	3.548e-05
ENSG00000148735	0.392326439650944	3.588e-05
ENSG00000177576	0.387222894714801	3.611e-05
ENSG00000271978	0.392137097168765	3.624e-05
ENSG00000251562	0.380258341230825	3.626e-05
ENSG00000253200	0.392705199180787	3.667e-05
ENSG00000239388	0.385148837577896	3.788e-05
ENSG00000257671	0.380633945252964	3.816e-05
ENSG00000234771	0.386091221203337	3.833e-05
ENSG00000278974	0.377631847583095	3.959e-05
ENSG00000234345	0.387411593301282	4.137e-05
ENSG00000228492	0.379132115536716	4.234e-05
ENSG00000243678	0.37894449670026	4.272e-05
ENSG00000213997	0.390245037827557	4.363e-05
ENSG00000275896	0.396688189399952	4.603e-05
ENSG00000124839	0.408129129936666	4.922e-05
ENSG00000234745	0.392515806986109	4.957e-05
ENSG00000242600	0.42333275336321	5.177e-05
ENSG00000168282	0.408320583064263	5.294e-05
ENSG00000279289	0.368662855872519	5.546e-05
ENSG00000263786	0.379132115536716	5.707e-05
ENSG00000230177	0.366987359798269	6.208e-05
ENSG00000260751	0.380070575883922	6.376e-05
ENSG00000230715	0.359564163380412	7.153e-05
ENSG00000186166	0.356051480697172	7.286e-05
ENSG00000100060	0.353284338922645	7.698e-05
ENSG00000273486	0.398018300167363	7.709e-05
ENSG00000127129	0.351074440546879	8.063e-05
ENSG00000279759	0.35144252194724	8.294e-05
ENSG00000232934	0.409853123419121	8.703e-05
ENSG00000250067	0.347765927090763	8.896e-05
ENSG00000088340	0.368290355214397	9.061e-05
ENSG00000269378	0.346848240499876	9.107e-05
ENSG00000166333	0.344831382390408	9.187e-05
ENSG00000124602	0.345197874210209	9.303e-05
ENSG00000197180	0.347031731125355	9.434e-05
ENSG00000228242	0.347765927090763	0.0001052
ENSG00000163463	0.34318332035068	0.0001067
ENSG00000104081	0.341537138825891	0.0001115
ENSG00000127366	0.359379071964302	0.0001165
ENSG00000203392	0.349603053330211	0.000117
ENSG00000143036	0.377069649079823	0.0001213
ENSG00000253854	0.332970798589448	0.0001241
ENSG00000260910	0.334243417320601	0.0001285
ENSG00000204745	0.343000318505964	0.0001288
ENSG00000204789	0.334789169186723	0.0001298
ENSG00000269427	0.346114511283354	0.0001316
ENSG00000142046	0.331880875313568	0.0001323
ENSG00000261286	0.337521029576749	0.0001362
ENSG00000279789	0.331880875313568	0.0001389
ENSG00000279347	0.334061545900141	0.0001483
ENSG00000138316	0.3287972234581	0.0001508
ENSG00000108839	0.335517159635317	0.0001536
ENSG00000231728	0.327891519968696	0.0001688
ENSG00000139597	0.320846479161911	0.0001785
ENSG00000272808	0.327348370671615	0.0001795
ENSG00000188747	0.319585618193183	0.0001832
ENSG00000268087	0.325358570914176	0.0001892
ENSG00000267199	0.321387185661171	0.0002015
ENSG00000228925	0.317067197282784	0.0002063
ENSG00000232354	0.314194374845732	0.0002103
ENSG00000120051	0.314553164959715	0.0002122
ENSG00000073605	0.32228881373932	0.0002165
ENSG00000197301	0.31670778147602	0.0002216
ENSG00000259994	0.314373758749089	0.0002238
ENSG00000280138	0.322469206992558	0.0002242
ENSG00000223773	0.315271012985914	0.0002286
ENSG00000279412	0.310074689143573	0.0002319
