FC..class1.class2.	P.value
ENSG00000273352	0.375010126901529	0.0003858
ENSG00000196642	0.359749278545982	0.000386
ENSG00000176978	0.360119580149886	0.0003899
ENSG00000178623	0.359934417467107	0.0004108
ENSG00000175728	0.356051480697172	0.0004306
ENSG00000167702	0.35494398700853	0.0004315
ENSG00000199753	0.378756902259987	0.0004325
ENSG00000185986	0.35015464769399	0.0004568
ENSG00000265519	0.352178966598703	0.0004582
ENSG00000266402	0.352731546895617	0.0004701
ENSG00000221821	0.35089043505707	0.000476
ENSG00000147799	0.351994820189507	0.0004814
ENSG00000095906	0.35070645303286	0.000506
ENSG00000104903	0.347031731125355	0.0005164
ENSG00000224934	0.35070645303286	0.0005169
ENSG00000188760	0.345381155038874	0.0005236
ENSG00000183018	0.346114511283354	0.0005256
ENSG00000130758	0.346664773208869	0.0005301
ENSG00000050820	0.344831382390408	0.0005333
ENSG00000269378	0.383077757881299	0.0005432
ENSG00000060491	0.345747786563309	0.0005456
ENSG00000127129	0.341902794648628	0.0005678
ENSG00000127586	0.343000318505964	0.0005688
ENSG00000008710	0.340806105093052	0.0005975
ENSG00000120328	0.343000318505964	0.0005991
ENSG00000273443	0.339892833529422	0.0005999
ENSG00000243753	0.359749278545982	0.0006069
ENSG00000104892	0.342817339871577	0.0006119
ENSG00000107281	0.338615223820242	0.0006234
ENSG00000123989	0.336792027519353	0.0006582
ENSG00000124766	0.336974243502025	0.0006704
ENSG00000163864	0.335335127581466	0.0006727
ENSG00000178662	0.336245517616654	0.0006737
ENSG00000167967	0.335517159635317	0.0006792
ENSG00000099889	0.333879697404169	0.0006859
ENSG00000171159	0.333516069162574	0.0006882
ENSG00000280433	0.333697871826905	0.0006905
ENSG00000166823	0.348316819367891	0.0006917
ENSG00000130589	0.332970798589448	0.0007057
ENSG00000169174	0.336792027519353	0.0007128
ENSG00000011132	0.330973234490369	0.0007212
ENSG00000227038	0.331154716978927	0.0007222
ENSG00000133247	0.332789087519129	0.0007292
ENSG00000203667	0.331699301461351	0.0007383
ENSG00000215908	0.330066164331039	0.000748
ENSG00000181524	0.336974243502025	0.0007565
ENSG00000154102	0.3287972234581	0.000757
ENSG00000186409	0.328434873828947	0.0007599
ENSG00000145358	0.327710447481369	0.0007635
ENSG00000109610	0.328616037267483	0.0007683
ENSG00000130881	0.328072615185263	0.0007769
ENSG00000182809	0.328616037267483	0.0007877
ENSG00000169122	0.327891519968696	0.0007953
ENSG00000250588	0.327167366337787	0.0007985
ENSG00000103266	0.323913165617679	0.0008164
ENSG00000225077	0.324635687250854	0.0008191
ENSG00000100263	0.326805425783733	0.0008398
ENSG00000108839	0.324816374212189	0.0008603
ENSG00000272674	0.324093762105477	0.0008649
ENSG00000240429	0.321206927643708	0.0008695
ENSG00000058453	0.320846479161911	0.0009106
ENSG00000214309	0.320125852253377	0.0009211
ENSG00000172889	0.318685677398679	0.0009451
ENSG00000242114	0.318325858207167	0.0009558
ENSG00000070182	0.346114511283354	0.0009645
ENSG00000141854	0.315809633503983	0.000969
ENSG00000135549	0.32102669214583	0.0009746
ENSG00000160446	0.31778629762958	0.0009881
ENSG00000139597	0.317067197282784	0.00101
ENSG00000248596	0.315091517490704	0.001072
ENSG00000130649	0.319405585118651	0.001073
ENSG00000100258	0.315091517490704	0.00108
ENSG00000261662	0.311685339359615	0.001094
ENSG00000183091	0.314373758749089	0.001096
ENSG00000128185	0.312401761492718	0.001128
ENSG00000107404	0.31079031169837	0.001129
ENSG00000119574	0.309538205081281	0.00113
ENSG00000257815	0.310432456049533	0.001135
ENSG00000099624	0.309359421384307	0.001152
ENSG00000142409	0.30989583895542	0.001155
ENSG00000212864	0.308823203187876	0.001168
ENSG00000177191	0.3084658350808	0.001174
ENSG00000119227	0.3084658350808	0.00122
ENSG00000176125	0.314553164959715	0.001221
ENSG00000071655	0.3084658350808	0.001222
ENSG00000105722	0.30561007259269	0.001264
ENSG00000007516	0.306145097646435	0.001267
ENSG00000196312	0.3084658350808	0.00127
ENSG00000241014	0.304540617361442	0.001282
ENSG00000178209	0.305253499422093	0.001326
ENSG00000161618	0.302048300530787	0.001344
ENSG00000162572	0.3040061868901	0.001369
ENSG00000176046	0.306323483432243	0.001382
ENSG00000100726	0.299205200626279	0.001399
ENSG00000166166	0.297608415691949	0.001479
ENSG00000196569	0.29636769256293	0.001489
ENSG00000267481	0.308823203187876	0.001491
ENSG00000167799	0.296190533473754	0.001513
ENSG00000176428	0.300270706613329	0.001513
ENSG00000224051	0.29689930039584	0.001518
ENSG00000239445	0.294951028606318	0.001532
ENSG00000130706	0.295836280546035	0.001532
ENSG00000170549	0.297431104189128	0.001532
ENSG00000099849	0.29689930039584	0.001538
ENSG00000197785	0.29636769256293	0.001547
ENSG00000177380	0.295128035543647	0.001553
ENSG00000273759	0.294597079870272	0.001587
ENSG00000150054	0.293889442803533	0.001596
ENSG00000103260	0.293889442803533	0.001605
ENSG00000168298	0.294420138060902	0.001612
ENSG00000232434	0.299915450506908	0.001616
ENSG00000129932	0.297963104087316	0.001625
ENSG00000178826	0.301514792343177	0.001626
ENSG00000077463	0.293889442803533	0.001631
ENSG00000063660	0.293358942690592	0.001632
ENSG00000169710	0.294597079870272	0.001633
ENSG00000165655	0.29212186718315	0.001795
ENSG00000112787	0.288416992526039	0.001803
ENSG00000115255	0.288593199554153	0.001825
ENSG00000198203	0.291945228671648	0.001865
ENSG00000145217	0.290003631088599	0.001866
ENSG00000153443	0.285600603069597	0.001897
ENSG00000102174	0.302226180444814	0.00191
ENSG00000182272	0.30721574336599	0.001937
ENSG00000232803	0.283316328122915	0.001952
ENSG00000234062	0.305075245880026	0.001952
ENSG00000125534	0.283667519712013	0.001978
ENSG00000133275	0.285424761148374	0.002005
ENSG00000162591	0.283843147570394	0.002013
ENSG00000173825	0.280860377800675	0.002061
ENSG00000174886	0.283140764381793	0.002073
ENSG00000170638	0.284194467440847	0.002077
ENSG00000280789	0.283316328122915	0.002086
ENSG00000178814	0.281561651379139	0.002088
ENSG00000041515	0.282263266002518	0.002109
ENSG00000213347	0.287360202069148	0.002137
ENSG00000254461	0.279458852453401	0.00215
ENSG00000162585	0.279108683752437	0.00216
ENSG00000092200	0.280509868799706	0.00216
ENSG00000100299	0.285952351222233	0.002218
ENSG00000174939	0.276485124126195	0.002249
ENSG00000174844	0.279809106167403	0.00228
ENSG00000270195	0.261880711217424	0.002293
ENSG00000205002	0.279458852453401	0.002296
ENSG00000006015	0.275437034693329	0.002298
ENSG00000266074	0.27893363126895	0.002311
ENSG00000198618	0.298672742587059	0.002326
ENSG00000230445	0.277883762181341	0.00236
ENSG00000169962	0.274215225257745	0.002365
ENSG00000117069	0.276310389669385	0.002375
ENSG00000063245	0.274215225257745	0.002383
ENSG00000146540	0.27508784068439	0.00242
ENSG00000137825	0.276310389669385	0.002421
ENSG00000180340	0.274738731174909	0.002433
ENSG00000158792	0.273343137314313	0.002448
ENSG00000164683	0.274738731174909	0.002493
ENSG00000106541	0.206228941455776	0.0025
ENSG00000105617	0.275437034693329	0.002505
ENSG00000173153	0.271426397440635	0.002517
ENSG00000198830	0.271078172712686	0.002531
ENSG00000051523	0.271252274570242	0.002541
ENSG00000128564	0.276834656542415	0.002542
ENSG00000160957	0.276135676373272	0.002545
ENSG00000126705	0.270207978440035	0.002577
ENSG00000231752	0.271774706240224	0.002598
ENSG00000130332	0.270207978440035	0.002603
ENSG00000170955	0.268990587579271	0.002623
ENSG00000198517	0.276834656542415	0.002628
ENSG00000136295	0.269512200736224	0.002643
ENSG00000169692	0.2688167584278	0.002665
ENSG00000226121	0.290356454529068	0.002676
ENSG00000164690	0.267600540461363	0.002679
ENSG00000244219	0.272297327162762	0.002682
ENSG00000236017	0.30721574336599	0.002766
ENSG00000162062	0.266211831374818	0.002783
ENSG00000266258	0.266732440645238	0.002823
ENSG00000228300	0.266211831374818	0.002832
ENSG00000241043	0.267079617891743	0.002843
ENSG00000182095	0.268642950218339	0.002874
ENSG00000069011	0.272471576216768	0.002951
ENSG00000184343	0.277009454512083	0.002963
ENSG00000129007	0.266038336691079	0.002965
ENSG00000166925	0.263438417009447	0.002983
ENSG00000168490	0.278233633661385	0.003001
ENSG00000196498	0.263438417009447	0.003006
ENSG00000144485	0.263611599296539	0.003026
ENSG00000126464	0.26222672274106	0.003072
ENSG00000154358	0.261361849481606	0.0031
ENSG00000068137	0.26274589567567	0.003101
ENSG00000260855	0.269860047643488	0.003119
ENSG00000133250	0.262918994846901	0.003122
ENSG00000160678	0.267253237849939	0.003132
ENSG00000174791	0.260843174286054	0.003192
ENSG00000123689	0.26413127092642	0.003213
ENSG00000152270	0.259115602482341	0.003283
ENSG00000008128	0.260843174286054	0.003284
ENSG00000187987	0.276135676373272	0.003322
ENSG00000279342	0.259460951386657	0.003343
ENSG00000177685	0.258080051505312	0.003364
ENSG00000065268	0.255666652618641	0.003374
