"","X","X.miRNA","precursor","D8R1","D8R2","D8R3","M8R1","M8R2","M8R3","T8R1","T8R2","T8R3","TM8R1","TM8R2","TM8R3","D24R1","D24R2","D24R3","M24R1","M24R2","M24R3","T24R1","T24R2","T24R3","TM24R1","TM24R2","TM24R3"
"463",24041,"hsa-miR-1976","hsa-mir-1976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"464",24042,"hsa-miR-198","hsa-mir-198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"466",24044,"hsa-miR-199a-3p","hsa-mir-199a-1",0,0,0,0,1,1,2,0,0,0,0,1,0,1,1,1,3,1,1,2,0,0,2,3
"465",24043,"hsa-miR-199a-5p","hsa-mir-199a-1",0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,0,2,0,0,1,1
"470",24048,"hsa-miR-199b-3p","hsa-mir-199b",0,0,0,0,1,1,2,0,0,0,0,1,0,1,1,1,3,1,1,2,0,0,2,3
"469",24047,"hsa-miR-199b-5p","hsa-mir-199b",0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
"472",24050,"hsa-miR-19a-3p","hsa-mir-19a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"471",24049,"hsa-miR-19a-5p","hsa-mir-19a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"473",24051,"hsa-miR-19b-1-5p","hsa-mir-19b-1",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"476",24054,"hsa-miR-19b-2-5p","hsa-mir-19b-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"474",24052,"hsa-miR-19b-3p","hsa-mir-19b-1",2,7,5,2,4,5,3,1,2,2,3,1,4,5,5,8,6,5,4,4,2,3,7,1
"478",24056,"hsa-miR-200a-3p","hsa-mir-200a",2,3,5,5,5,5,8,1,3,6,2,2,4,9,2,8,13,8,6,11,3,10,13,3
"477",24055,"hsa-miR-200a-5p","hsa-mir-200a",3,13,28,22,15,32,14,6,10,18,15,17,13,21,14,13,30,24,20,20,22,14,30,6
"480",24058,"hsa-miR-200b-3p","hsa-mir-200b",210,291,395,329,243,559,397,140,225,335,321,301,263,416,377,344,528,283,432,530,170,486,633,201
"479",24057,"hsa-miR-200b-5p","hsa-mir-200b",0,2,2,4,3,6,3,2,5,4,4,4,1,8,2,5,4,4,3,4,1,7,5,0
"482",24060,"hsa-miR-200c-3p","hsa-mir-200c",42,47,92,75,29,106,94,28,46,61,39,54,45,80,74,67,101,68,71,92,29,78,112,45
"481",24059,"hsa-miR-200c-5p","hsa-mir-200c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484",24062,"hsa-miR-202-3p","hsa-mir-202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"483",24061,"hsa-miR-202-5p","hsa-mir-202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"486",24064,"hsa-miR-203a-3p","hsa-mir-203a",0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0
"485",24063,"hsa-miR-203a-5p","hsa-mir-203a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"488",24066,"hsa-miR-203b-3p","hsa-mir-203b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"487",24065,"hsa-miR-203b-5p","hsa-mir-203b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"490",24068,"hsa-miR-204-3p","hsa-mir-204",1,0,0,1,4,2,0,0,0,2,0,3,0,1,0,0,1,0,1,0,1,2,1,2
"489",24067,"hsa-miR-204-5p","hsa-mir-204",25,21,67,43,19,69,64,12,21,35,30,44,18,57,52,25,70,51,42,85,15,53,97,28
"493",24071,"hsa-miR-2052","hsa-mir-2052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"494",24072,"hsa-miR-2053","hsa-mir-2053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"492",24070,"hsa-miR-205-3p","hsa-mir-205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"495",24073,"hsa-miR-2054","hsa-mir-2054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"491",24069,"hsa-miR-205-5p","hsa-mir-205",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"496",24074,"hsa-miR-206","hsa-mir-206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"498",24076,"hsa-miR-208a-3p","hsa-mir-208a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"497",24075,"hsa-miR-208a-5p","hsa-mir-208a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
