"","X","X.miRNA","precursor","D8R1","D8R2","D8R3","M8R1","M8R2","M8R3","T8R1","T8R2","T8R3","TM8R1","TM8R2","TM8R3","D24R1","D24R2","D24R3","M24R1","M24R2","M24R3","T24R1","T24R2","T24R3","TM24R1","TM24R2","TM24R3"
"724",24302,"hsa-miR-3160-5p","hsa-mir-3160-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"728",24306,"hsa-miR-3161","hsa-mir-3161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"730",24308,"hsa-miR-3162-3p","hsa-mir-3162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"729",24307,"hsa-miR-3162-5p","hsa-mir-3162",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"731",24309,"hsa-miR-3163","hsa-mir-3163",0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,0,3,2,0,1,0
"732",24310,"hsa-miR-3164","hsa-mir-3164",0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
"733",24311,"hsa-miR-3165","hsa-mir-3165",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"734",24312,"hsa-miR-3166","hsa-mir-3166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"735",24313,"hsa-miR-3167","hsa-mir-3167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"736",24314,"hsa-miR-3168","hsa-mir-3168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"737",24315,"hsa-miR-3169","hsa-mir-3169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"738",24316,"hsa-miR-3170","hsa-mir-3170",0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0
"739",24317,"hsa-miR-3171","hsa-mir-3171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"741",24319,"hsa-miR-3173-3p","hsa-mir-3173",0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"740",24318,"hsa-miR-3173-5p","hsa-mir-3173",7,4,6,4,4,19,7,3,9,11,1,8,6,6,8,5,6,8,12,11,10,3,9,6
"742",24320,"hsa-miR-3174","hsa-mir-3174",0,1,5,0,1,7,0,0,0,2,0,1,0,2,2,2,2,1,0,3,0,1,2,0
"743",24321,"hsa-miR-3175","hsa-mir-3175",0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
"744",24322,"hsa-miR-3176","hsa-mir-3176",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"746",24324,"hsa-miR-3177-3p","hsa-mir-3177",2,1,5,4,0,6,7,1,3,1,1,8,2,6,2,1,5,2,6,7,3,3,4,6
"745",24323,"hsa-miR-3177-5p","hsa-mir-3177",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"747",24325,"hsa-miR-3178","hsa-mir-3178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"748",24326,"hsa-miR-3179","hsa-mir-3179-1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"754",24332,"hsa-miR-3180","hsa-mir-3180-1",0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,2,1,1,4,0
"753",24331,"hsa-miR-3180-3p","hsa-mir-3180-1",0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,2,1,1,4,0
"752",24330,"hsa-miR-3180-5p","hsa-mir-3180-1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"765",24343,"hsa-miR-3181","hsa-mir-3181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"766",24344,"hsa-miR-3182","hsa-mir-3182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"767",24345,"hsa-miR-3183","hsa-mir-3183",1,1,1,1,0,1,1,0,1,0,1,1,1,2,2,0,0,1,0,1,0,2,1,1
"769",24347,"hsa-miR-3184-3p","hsa-mir-3184",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"768",24346,"hsa-miR-3184-5p","hsa-mir-3184",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"770",24348,"hsa-miR-3185","hsa-mir-3185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"772",24350,"hsa-miR-3186-3p","hsa-mir-3186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"771",24349,"hsa-miR-3186-5p","hsa-mir-3186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"774",24352,"hsa-miR-3187-3p","hsa-mir-3187",4,6,5,1,1,6,5,1,2,2,2,4,0,1,4,7,7,4,8,6,3,4,5,3
"773",24351,"hsa-miR-3187-5p","hsa-mir-3187",0,1,1,1,1,2,0,0,2,1,2,4,0,3,2,1,1,1,1,2,1,1,3,0
"775",24353,"hsa-miR-3188","hsa-mir-3188",0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0
"777",24355,"hsa-miR-3189-3p","hsa-mir-3189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"776",24354,"hsa-miR-3189-5p","hsa-mir-3189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"779",24357,"hsa-miR-3190-3p","hsa-mir-3190",0,1,2,1,1,2,0,1,3,1,0,1,0,0,0,0,2,0,0,1,1,0,0,1
"778",24356,"hsa-miR-3190-5p","hsa-mir-3190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"781",24359,"hsa-miR-3191-3p","hsa-mir-3191",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"780",24358,"hsa-miR-3191-5p","hsa-mir-3191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"783",24361,"hsa-miR-3192-3p","hsa-mir-3192",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"782",24360,"hsa-miR-3192-5p","hsa-mir-3192",0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,2,2
"784",24362,"hsa-miR-3193","hsa-mir-3193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0
"786",24364,"hsa-miR-3194-3p","hsa-mir-3194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"785",24363,"hsa-miR-3194-5p","hsa-mir-3194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"787",24365,"hsa-miR-3195","hsa-mir-3195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"788",24366,"hsa-miR-3196","hsa-mir-3196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"789",24367,"hsa-miR-3197","hsa-mir-3197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"790",24368,"hsa-miR-3198","hsa-mir-3198-1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"792",24370,"hsa-miR-3199","hsa-mir-3199-1",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"797",24375,"hsa-miR-3200-3p","hsa-mir-3200",2,6,3,4,2,6,5,0,3,1,4,6,1,2,2,10,5,6,10,2,5,5,2,2
"796",24374,"hsa-miR-3200-5p","hsa-mir-3200",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"798",24376,"hsa-miR-3201","hsa-mir-3201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"799",24377,"hsa-miR-3202","hsa-mir-3202-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"802",24380,"hsa-miR-320a-3p","hsa-mir-320a",1515,1732,3427,2539,1877,4574,3399,1004,2204,2566,2797,2860,2232,2617,2759,2953,3325,2631,3015,3718,1304,3555,3900,1731
"801",24379,"hsa-miR-320a-5p","hsa-mir-320a",0,1,3,1,1,2,0,0,0,0,1,2,0,1,1,0,1,0,2,2,0,0,1,0
"803",24381,"hsa-miR-320b","hsa-mir-320b-1",116,136,236,180,109,293,285,78,168,216,191,248,108,206,213,190,224,161,235,309,94,269,322,146
"805",24383,"hsa-miR-320c","hsa-mir-320c-1",17,17,49,32,22,48,51,9,21,29,29,40,13,19,32,35,37,27,40,45,21,35,52,22
"807",24385,"hsa-miR-320d","hsa-mir-320d-1",3,3,14,7,7,16,9,4,4,9,12,7,9,6,16,9,11,9,12,15,4,8,17,2
"809",24387,"hsa-miR-320e","hsa-mir-320e",1,0,7,7,2,13,4,1,2,2,8,6,4,2,9,7,5,4,4,10,3,7,8,0
"811",24389,"hsa-miR-323a-3p","hsa-mir-323a",0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,1,1,1,0,0,0
"810",24388,"hsa-miR-323a-5p","hsa-mir-323a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"813",24391,"hsa-miR-323b-3p","hsa-mir-323b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"812",24390,"hsa-miR-323b-5p","hsa-mir-323b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"795",24373,"hsa-miR-32-3p","hsa-mir-32",3,1,3,4,1,1,3,3,0,2,1,5,2,6,2,2,8,0,4,1,3,2,11,1
"815",24393,"hsa-miR-324-3p","hsa-mir-324",7,17,27,14,10,21,18,12,15,16,12,27,14,15,24,20,13,12,15,24,16,23,32,8
"814",24392,"hsa-miR-324-5p","hsa-mir-324",0,1,5,4,3,5,2,2,4,6,1,11,3,4,2,6,7,4,8,7,5,8,3,6
"816",24394,"hsa-miR-325","hsa-mir-325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"794",24372,"hsa-miR-32-5p","hsa-mir-32",0,0,0,0,0,0,1,0,0,1,1,3,0,1,4,0,1,0,2,0,0,3,0,0
"817",24395,"hsa-miR-326","hsa-mir-326",2,1,1,2,0,5,2,0,0,2,3,0,0,2,1,1,2,1,5,0,1,2,1,0
"819",24397,"hsa-miR-328-3p","hsa-mir-328",40,29,65,60,27,95,99,25,38,64,31,62,43,61,86,50,70,58,73,96,39,102,75,46
"818",24396,"hsa-miR-328-5p","hsa-mir-328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"821",24399,"hsa-miR-329-3p","hsa-mir-329-1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"820",24398,"hsa-miR-329-5p","hsa-mir-329-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"825",24403,"hsa-miR-330-3p","hsa-mir-330",104,97,218,180,73,301,234,62,128,205,96,169,101,168,200,145,191,175,170,177,97,227,214,117
"824",24402,"hsa-miR-330-5p","hsa-mir-330",9,9,29,28,6,36,30,7,22,24,13,23,14,17,27,23,31,29,38,28,24,53,40,26
"827",24405,"hsa-miR-331-3p","hsa-mir-331",27,48,122,53,29,104,55,21,46,49,48,91,47,56,57,62,58,67,66,79,53,95,82,67
"826",24404,"hsa-miR-331-5p","hsa-mir-331",10,11,33,13,12,43,25,5,11,16,14,24,20,33,38,18,56,27,12,34,12,21,32,23
"829",24407,"hsa-miR-335-3p","hsa-mir-335",113,156,249,219,176,282,264,89,115,155,186,127,262,309,246,307,528,244,235,343,85,291,424,102
"828",24406,"hsa-miR-335-5p","hsa-mir-335",0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,1,3,1,1,0,0,0,4,0
"831",24409,"hsa-miR-337-3p","hsa-mir-337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"830",24408,"hsa-miR-337-5p","hsa-mir-337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"833",24411,"hsa-miR-338-3p","hsa-mir-338",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"832",24410,"hsa-miR-338-5p","hsa-mir-338",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"835",24413,"hsa-miR-339-3p","hsa-mir-339",32,40,81,40,40,94,79,21,45,36,32,62,39,44,57,55,101,58,74,72,36,74,88,42
"834",24412,"hsa-miR-339-5p","hsa-mir-339",208,194,281,327,157,342,459,137,196,402,188,253,273,223,329,336,329,217,455,309,148,467,285,153
"837",24415,"hsa-miR-33a-3p","hsa-mir-33a",2,1,1,1,0,0,1,0,0,0,1,0,1,1,2,0,1,2,0,2,0,1,2,0
"836",24414,"hsa-miR-33a-5p","hsa-mir-33a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"839",24417,"hsa-miR-33b-3p","hsa-mir-33b",0,2,4,3,5,8,5,1,6,4,2,5,10,4,8,6,8,2,8,6,4,6,13,2
"838",24416,"hsa-miR-33b-5p","hsa-mir-33b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"841",24419,"hsa-miR-340-3p","hsa-mir-340",3,9,14,7,9,33,18,0,8,8,8,9,7,17,14,17,21,17,10,17,7,17,16,8
"840",24418,"hsa-miR-340-5p","hsa-mir-340",5,14,13,9,8,17,18,3,7,8,16,12,20,15,18,18,25,19,16,27,4,19,20,6
"843",24421,"hsa-miR-342-3p","hsa-mir-342",50,72,134,81,41,170,84,43,67,65,58,177,55,43,85,92,77,80,83,71,66,98,89,87
"842",24420,"hsa-miR-342-5p","hsa-mir-342",1,5,0,3,1,3,2,0,3,1,1,1,0,0,1,1,3,1,0,3,3,2,4,0
"845",24423,"hsa-miR-345-3p","hsa-mir-345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"844",24422,"hsa-miR-345-5p","hsa-mir-345",48,53,138,99,65,193,124,29,88,95,61,121,66,142,121,104,161,122,89,122,49,115,140,47
"846",24424,"hsa-miR-346","hsa-mir-346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"848",24426,"hsa-miR-34a-3p","hsa-mir-34a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"847",24425,"hsa-miR-34a-5p","hsa-mir-34a",4,12,44,11,14,21,8,8,10,10,22,18,21,20,18,25,27,27,18,25,4,15,51,13
"850",24428,"hsa-miR-34b-3p","hsa-mir-34b",25,24,45,42,14,67,57,19,24,41,25,63,25,45,40,34,37,34,62,52,23,50,56,24
"849",24427,"hsa-miR-34b-5p","hsa-mir-34b",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"852",24430,"hsa-miR-34c-3p","hsa-mir-34c",8,11,20,21,8,12,9,5,13,6,12,12,10,7,11,17,23,8,15,24,1,28,17,7
"851",24429,"hsa-miR-34c-5p","hsa-mir-34c",112,189,140,218,144,199,189,123,71,183,204,164,325,234,185,357,321,169,284,273,105,307,414,101
"854",24432,"hsa-miR-3529-3p","hsa-mir-3529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"853",24431,"hsa-miR-3529-5p","hsa-mir-3529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"856",24434,"hsa-miR-3605-3p","hsa-mir-3605",5,6,20,9,0,18,8,0,2,9,1,13,1,5,6,3,7,7,5,6,12,10,9,15
"855",24433,"hsa-miR-3605-5p","hsa-mir-3605",0,3,3,1,1,3,3,0,3,3,2,5,1,3,4,3,5,4,2,9,2,3,7,1
"858",24436,"hsa-miR-3606-3p","hsa-mir-3606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"857",24435,"hsa-miR-3606-5p","hsa-mir-3606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"859",24437,"hsa-miR-3609","hsa-mir-3609",1,1,4,3,0,2,0,0,1,4,1,6,0,0,4,0,2,2,2,2,2,2,2,0
"862",24440,"hsa-miR-3610","hsa-mir-3610",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"863",24441,"hsa-miR-3611","hsa-mir-3611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"864",24442,"hsa-miR-3612","hsa-mir-3612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"866",24444,"hsa-miR-3613-3p","hsa-mir-3613",1,0,1,0,0,1,0,0,1,0,1,0,2,2,0,2,0,1,1,0,0,0,0,0
"865",24443,"hsa-miR-3613-5p","hsa-mir-3613",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"861",24439,"hsa-miR-361-3p","hsa-mir-361",740,849,1404,1201,616,2499,1417,452,1015,1245,813,1241,964,1179,1851,1356,1525,1284,1512,1526,955,1750,1537,1026
"868",24446,"hsa-miR-3614-3p","hsa-mir-3614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"867",24445,"hsa-miR-3614-5p","hsa-mir-3614",3,6,6,9,3,18,11,0,5,8,6,5,0,3,3,2,9,9,4,11,3,3,9,6
"869",24447,"hsa-miR-3615","hsa-mir-3615",316,292,553,475,231,908,670,159,454,641,276,578,226,388,615,373,518,382,550,553,373,666,615,374
"860",24438,"hsa-miR-361-5p","hsa-mir-361",69,92,173,112,65,184,176,53,87,107,92,126,97,130,121,139,169,124,134,200,51,166,224,76
"871",24449,"hsa-miR-3616-3p","hsa-mir-3616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"870",24448,"hsa-miR-3616-5p","hsa-mir-3616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"873",24451,"hsa-miR-3617-3p","hsa-mir-3617",0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,2,1,0,0,1,4,2,0
"872",24450,"hsa-miR-3617-5p","hsa-mir-3617",4,2,1,4,1,7,3,2,1,2,5,2,5,4,2,1,11,4,6,5,2,4,8,4
"874",24452,"hsa-miR-3618","hsa-mir-3618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"876",24454,"hsa-miR-3619-3p","hsa-mir-3619",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"875",24453,"hsa-miR-3619-5p","hsa-mir-3619",1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0
"880",24458,"hsa-miR-3620-3p","hsa-mir-3620",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"879",24457,"hsa-miR-3620-5p","hsa-mir-3620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"881",24459,"hsa-miR-3621","hsa-mir-3621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"883",24461,"hsa-miR-3622a-3p","hsa-mir-3622a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"882",24460,"hsa-miR-3622a-5p","hsa-mir-3622a",0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"885",24463,"hsa-miR-3622b-3p","hsa-mir-3622b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"884",24462,"hsa-miR-3622b-5p","hsa-mir-3622b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"878",24456,"hsa-miR-362-3p","hsa-mir-362",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"877",24455,"hsa-miR-362-5p","hsa-mir-362",25,24,72,39,25,69,63,20,42,42,32,52,55,53,55,63,67,45,78,50,9,76,62,28
"887",24465,"hsa-miR-363-3p","hsa-mir-363",2,5,12,7,7,17,4,4,6,3,3,9,10,7,8,8,13,4,4,9,4,7,11,4
"886",24464,"hsa-miR-363-5p","hsa-mir-363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"888",24466,"hsa-miR-3646","hsa-mir-3646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"889",24467,"hsa-miR-3648","hsa-mir-3648-1",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"891",24469,"hsa-miR-3649","hsa-mir-3649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"892",24470,"hsa-miR-3650","hsa-mir-3650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"893",24471,"hsa-miR-3651","hsa-mir-3651",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,1,0
"894",24472,"hsa-miR-3652","hsa-mir-3652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"895",24473,"hsa-miR-3654","hsa-mir-3654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"896",24474,"hsa-miR-3655","hsa-mir-3655",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"897",24475,"hsa-miR-3657","hsa-mir-3657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"898",24476,"hsa-miR-3658","hsa-mir-3658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"899",24477,"hsa-miR-3659","hsa-mir-3659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"901",24479,"hsa-miR-365a-3p","hsa-mir-365a",71,78,142,116,83,153,139,59,84,107,122,135,128,112,128,160,151,99,173,159,51,194,215,78
"900",24478,"hsa-miR-365a-5p","hsa-mir-365a",24,31,36,36,21,53,31,22,26,41,19,33,58,27,37,67,27,29,61,46,28,60,41,26
"903",24481,"hsa-miR-365b-3p","hsa-mir-365b",71,78,142,116,83,153,139,59,84,107,122,136,128,112,129,161,151,99,173,160,51,194,215,78
"902",24480,"hsa-miR-365b-5p","hsa-mir-365b",2,5,7,10,1,7,6,3,2,6,5,6,4,7,8,8,7,5,5,11,4,7,13,0
"904",24482,"hsa-miR-3660","hsa-mir-3660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"905",24483,"hsa-miR-3661","hsa-mir-3661",4,9,6,6,6,14,8,4,5,5,7,2,11,1,12,7,8,4,6,10,8,8,10,6
"906",24484,"hsa-miR-3662","hsa-mir-3662",2,1,5,0,2,3,2,1,0,0,0,2,0,1,0,0,2,3,0,0,0,1,7,2
"908",24486,"hsa-miR-3663-3p","hsa-mir-3663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"907",24485,"hsa-miR-3663-5p","hsa-mir-3663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"910",24488,"hsa-miR-3664-3p","hsa-mir-3664",0,0,0,0,1,1,2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"909",24487,"hsa-miR-3664-5p","hsa-mir-3664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"911",24489,"hsa-miR-3665","hsa-mir-3665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"912",24490,"hsa-miR-3666","hsa-mir-3666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"914",24492,"hsa-miR-3667-3p","hsa-mir-3667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"913",24491,"hsa-miR-3667-5p","hsa-mir-3667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"915",24493,"hsa-miR-3668","hsa-mir-3668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"918",24496,"hsa-miR-3670","hsa-mir-3670-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"922",24500,"hsa-miR-3671","hsa-mir-3671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"923",24501,"hsa-miR-3672","hsa-mir-3672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"917",24495,"hsa-miR-367-3p","hsa-mir-367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"924",24502,"hsa-miR-3674","hsa-mir-3674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"926",24504,"hsa-miR-3675-3p","hsa-mir-3675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"925",24503,"hsa-miR-3675-5p","hsa-mir-3675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"916",24494,"hsa-miR-367-5p","hsa-mir-367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928",24506,"hsa-miR-3677-3p","hsa-mir-3677",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"927",24505,"hsa-miR-3677-5p","hsa-mir-3677",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"930",24508,"hsa-miR-3678-3p","hsa-mir-3678",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"929",24507,"hsa-miR-3678-5p","hsa-mir-3678",0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"932",24510,"hsa-miR-3679-3p","hsa-mir-3679",0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
