FC..class1.class2.	P.value
hsa-miR-320e	1.41899946543127	3.953e-10
hsa-miR-4421	1.24731993497982	1.999e-08
hsa-miR-641	1.25096157353322	3.008e-08
hsa-miR-1285-3p	1.16542962042419	1.559e-07
hsa-miR-219b-5p	1.1551015581257	2.663e-07
hsa-miR-3133	1.05102400302447	1.003e-06
hsa-miR-193b-5p	1.04194382997017	1.597e-06
hsa-miR-619-5p	1.01863417413905	2.508e-06
hsa-miR-1468-5p	0.967168607532628	4.308e-06
hsa-miR-1249-3p	0.9061209529971	1.356e-05
hsa-miR-4671-5p	0.882056070968626	1.766e-05
hsa-miR-92a-1-5p	0.880489626687819	1.895e-05
hsa-miR-664b-3p	0.810648747782646	4.437e-05
hsa-miR-616-3p	0.817213924258327	4.993e-05
hsa-miR-6741-5p	0.799916202989014	5.955e-05
hsa-miR-1246	0.795766947782392	6.512e-05
hsa-miR-4435	0.791605724704552	6.87e-05
hsa-miR-4709-5p	0.770617646656203	7.737e-05
hsa-miR-9985	0.756169328139299	0.0001016
hsa-miR-6514-5p	0.748461233004036	0.0001246
hsa-miR-6852-5p	0.743299527888257	0.0001328
hsa-miR-204-3p	0.728573602559365	0.000149
hsa-miR-125b-2-3p	0.732920382108257	0.0001653
hsa-miR-519a-5p	0.696884090855454	0.0001868
hsa-miR-6779-5p	0.681674141792833	0.0002202
hsa-miR-146b-3p	0.6915341649192	0.0002398
hsa-miR-95-3p	0.669933835668961	0.0002719
hsa-miR-491-3p	0.668119124686432	0.0003384
hsa-miR-4473	0.662661255475094	0.0003508
hsa-miR-3918	0.656267534794289	0.0003659
hsa-miR-324-5p	0.654435540845399	0.0004261
hsa-miR-598-5p	0.64984535230601	0.0004362
hsa-miR-1285-5p	0.633198686374004	0.0004368
hsa-miR-4741	0.651683180632109	0.0004404
hsa-miR-4787-3p	0.644317778337577	0.0004723
hsa-miR-3177-3p	0.637842060324105	0.0005091
hsa-miR-16-2-3p	0.631337144127481	0.0005266
hsa-miR-5001-3p	0.612588406698718	0.0005307
hsa-miR-224-3p	0.621055503299739	0.0006768
hsa-miR-7-1-3p	0.599317793698226	0.000736
hsa-miR-33b-3p	0.614474282837701	0.0007427
hsa-miR-5010-3p	0.604071323668861	0.0007813
hsa-miR-10395-3p	0.603121869839996	0.0008632
hsa-miR-378f	0.562669826102702	0.000878
hsa-miR-4725-3p	0.561692721398309	0.000929
hsa-miR-760	0.58207422139633	0.0009402
hsa-miR-10526-3p	0.572404647390332	0.0009703
hsa-miR-3617-5p	0.585923976958601	0.001002
hsa-miR-454-5p	0.569491091958716	0.00105
hsa-miR-7114-5p	0.532067552289031	0.00124
hsa-miR-597-3p	0.538041453333664	0.001297
hsa-miR-200b-5p	0.544979883255804	0.001438
hsa-miR-942-5p	0.546956178141411	0.001572
hsa-miR-195-5p	0.534061602421118	0.001595
hsa-miR-6720-3p	0.528071164578735	0.001659
hsa-miR-616-5p	0.520045024039818	0.00166
hsa-miR-1276	0.528071164578735	0.001784
hsa-miR-326	0.51500591643373	0.001785
hsa-miR-106a-5p	0.507921464957328	0.001832
hsa-miR-503-3p	0.512985334813676	0.001832
hsa-miR-32-3p	0.512985334813676	0.001937
hsa-miR-152-5p	0.58111017522555	0.001953
hsa-miR-126-3p	0.509949146304311	0.00201
hsa-miR-24-2-5p	0.534061602421118	0.00206
hsa-miR-3120-3p	0.512985334813676	0.002571
hsa-miR-598-3p	0.480265122054463	0.002592
