gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
hsa-miR-96-5p	2638	285.9	-0.161491897219344	0.661	0.03708
hsa-miR-217-5p	478	287.8	-0.223811769420556	0.6665	0.03764
hsa-miR-22-5p	496	289.1	-0.276834656542415	0.6691	0.03804
hsa-miR-501-3p	1568	289.6	-0.148800661406706	0.6672	0.03818
hsa-miR-296-5p	535	289.7	-0.172831350707969	0.6637	0.03823
hsa-miR-152-5p	321	291.8	-0.134160347841338	0.6701	0.03885
hsa-miR-549a-5p	1787	294.2	-0.171693386224356	0.6779	0.03956
hsa-miR-664a-3p	2078	295.5	-0.233616858998702	0.6804	0.03996
hsa-miR-522-3p	1679	296.4	-0.243147496736824	0.6808	0.04025
hsa-miR-548aa	1707	297.4	-0.162298909066135	0.6816	0.04055
hsa-miR-548av-3p	1739	301.2	-0.164560946775875	0.6966	0.0417
hsa-miR-183-3p	357	305.2	-0.276485124126195	0.7129	0.04295
hsa-miR-6511a-3p	2040	305.4	-0.228536941634349	0.7096	0.04301
hsa-miR-6755-5p	2162	306.1	-0.128944924913371	0.7087	0.04323
hsa-miR-598-3p	1916	306.1	-0.196938324908699	0.7046	0.04324
hsa-miR-149-5p	314	307.5	-0.123905487270091	0.7075	0.04368
hsa-miR-1307-5p	252	309.9	-0.113098732313508	0.7155	0.04445
hsa-miR-708-3p	2446	310	-0.159395776645905	0.7114	0.04446
hsa-miR-4671-5p	1291	310	-0.212066106395924	0.7073	0.04447
hsa-miR-509-3-5p	1593	311.3	-0.155694699836063	0.7098	0.04489
hsa-miR-12114	99	314.1	-0.237863830098888	0.7199	0.04581
hsa-miR-548ae-5p	1713	314.3	-0.152804813410605	0.7164	0.04585
hsa-miR-4727-3p	1379	314.3	-0.152804813410605	0.7125	0.04587
hsa-miR-147b-5p	308	314.4	-0.0257643957909293	0.7087	0.0459
hsa-miR-363-3p	791	314.7	-0.241611534520648	0.7061	0.04599
hsa-miR-7977	2538	315	-0.152804813410605	0.7033	0.04608
hsa-miR-19a-3p	419	315.4	-0.155694699836063	0.7013	0.04621
hsa-miR-1278	207	315.6	-0.136061549576028	0.6983	0.04627
hsa-miR-219a-5p	484	315.7	-0.155694699836063	0.6948	0.0463
hsa-miR-4449	1106	315.7	-0.152804813410605	0.6909	0.0463
hsa-miR-3184-3p	681	315.8	-0.152804813410605	0.6875	0.04633
hsa-miR-3198	703	315.8	-0.152804813410605	0.684	0.04636
hsa-miR-365a-5p	805	315.9	-0.130365444186607	0.6806	0.04638
hsa-miR-142-3p	289	316.1	-0.152804813410605	0.6777	0.04644
hsa-miR-205-5p	442	316.1	-0.152804813410605	0.6742	0.04645
hsa-miR-3157-5p	647	316.3	-0.0911102530262792	0.6713	0.0465
hsa-miR-3941	950	316.4	-0.155694699836063	0.6683	0.04655
hsa-miR-323b-3p	717	316.8	-0.155694699836063	0.6664	0.04667
hsa-miR-5584-3p	1818	317.3	-0.152804813410605	0.6653	0.04684
hsa-miR-26b-3p	524	317.6	-0.250508638397475	0.6629	0.04692
hsa-miR-4794	1486	317.6	-0.152804813410605	0.6595	0.04693
hsa-miR-433-3p	1066	317.8	-0.154570167148848	0.6571	0.04701
hsa-miR-338-5p	738	318.1	-0.152804813410605	0.655	0.0471
hsa-miR-4638-3p	1233	318.3	-0.152804813410605	0.6526	0.04718
hsa-miR-485-3p	1508	318.5	-0.152804813410605	0.65	0.04723
hsa-miR-639	2001	318.9	-0.152804813410605	0.6486	0.04737
hsa-miR-6724-5p	2102	319	-0.111227532257558	0.6456	0.0474
hsa-miR-3648	794	319.6	-0.154570167148848	0.6447	0.04758
hsa-miR-6732-5p	2116	319.8	-0.152804813410605	0.6424	0.04765
hsa-miR-6879-5p	2413	319.8	-0.152804813410605	0.6392	0.04765
hsa-miR-29b-2-5p	543	320.6	-0.146563181111933	0.6395	0.04792
hsa-miR-4689	1315	321	-0.190997225060914	0.6381	0.04805
hsa-miR-6786-5p	2231	321.5	-0.152804813410605	0.6374	0.04824
hsa-miR-378j	900	321.5	-0.155694699836063	0.6342	0.04824
hsa-miR-5010-5p	1565	322.1	-0.154570167148848	0.6333	0.04841
hsa-miR-6749-3p	2148	323.6	-0.152804813410605	0.6369	0.04892
hsa-miR-3152-5p	639	324.8	-0.258425152581204	0.6389	0.04931
hsa-miR-4742-3p	1402	325.9	-0.187542848419543	0.6406	0.04969
hsa-miR-548u	1779	326.5	-0.210062131019805	0.6402	0.0499
hsa-miR-429	1020	326.6	-0.184424571137427	0.6377	0.04994
hsa-miR-1269a	192	7.507	1.14730669878029	0.001475	5.554e-07
hsa-miR-3200-3p	705	8.218	1.10902617649837	0.001044	7.862e-07
hsa-miR-3187-3p	686	12.81	0.997111720675174	0.003693	4.171e-06
hsa-miR-1276	204	13.35	1.00863030514344	0.003223	4.854e-06
hsa-miR-3614-5p	772	16.81	0.940354711533293	0.005805	1.093e-05
hsa-miR-6866-5p	2387	17.12	0.971589535530062	0.005153	1.164e-05
hsa-miR-10399-5p	42	26.31	0.833497336859835	0.01848	4.871e-05
hsa-miR-582-3p	1894	29.19	0.827006009638977	0.0226	6.808e-05
hsa-miR-1910-5p	382	36.43	0.734655433479005	0.04049	0.0001372
hsa-miR-6716-3p	2092	43.07	0.670840335881562	0.06112	0.0002301
hsa-miR-203a-3p	432	51.22	0.669933835668961	0.09406	0.0003895
hsa-miR-940	2627	52.71	0.660837367696284	0.09394	0.0004244
hsa-miR-1268b	191	53.02	0.630405471482323	0.08826	0.000432
hsa-miR-504-5p	1575	60.91	0.612588406698718	0.1238	0.0006524
hsa-miR-500b-3p	1562	61.4	0.603121869839996	0.1183	0.000668
hsa-miR-1304-5p	247	61.68	0.632268215499513	0.1124	0.0006769
hsa-miR-23a-5p	506	64.31	0.614474282837701	0.1196	0.0007654
hsa-miR-4502	1167	64.74	0.585923976958601	0.1151	0.0007803
hsa-miR-200a-3p	424	67.71	0.570462931026041	0.1243	0.0008895
hsa-miR-138-1-3p	279	73.1	0.569491091958716	0.1475	0.001111
hsa-miR-3193	697	74.03	0.583037623796664	0.1457	0.001152
hsa-miR-5091	1590	74.07	0.603121869839996	0.1393	0.001154
hsa-miR-127-3p	201	74.63	0.566571640626761	0.1361	0.001179
hsa-miR-219a-1-3p	482	79.95	0.545968369105292	0.1589	0.001436
hsa-miR-6510-3p	2038	80.78	0.534061602421118	0.1571	0.001479
hsa-miR-135b-3p	273	81.62	0.519038609600059	0.1556	0.001524
hsa-miR-4787-3p	1476	83.2	0.58111017522555	0.1582	0.001608
hsa-miR-378d	894	84.28	0.513995979367013	0.1583	0.001668
hsa-let-7g-3p	15	85.05	0.537047519404657	0.1568	0.001712
hsa-miR-6782-3p	2222	88.55	0.499782120147312	0.1699	0.001919
hsa-miR-489-3p	1518	88.73	0.575312330687437	0.1653	0.00193
hsa-miR-1908-3p	373	89.98	0.50182126542091	0.1666	0.002007
hsa-miR-1226-5p	128	91.27	0.505890929729957	0.1681	0.002089
hsa-miR-1267	189	92.66	0.497740088609093	0.1702	0.002179
hsa-miR-582-5p	1895	93.35	0.603121869839996	0.1689	0.002225
hsa-miR-3662	810	95.01	0.523060061795249	0.1724	0.002337
hsa-miR-5588-5p	1827	96.27	0.506906554580693	0.174	0.002424
hsa-miR-3138	616	96.71	0.474046599319306	0.1716	0.002455
hsa-miR-4684-3p	1307	100.4	0.395062799517578	0.1855	0.002724
hsa-miR-17-3p	341	101.9	0.486456955768731	0.1885	0.002838
hsa-miR-3617-3p	777	102.9	0.475084882948783	0.1887	0.002913
hsa-miR-3180-3p	676	103.1	0.473007567916174	0.1852	0.002928
hsa-miR-3180	675	103.2	0.473007567916174	0.1814	0.002936
hsa-miR-556-3p	1801	113.8	0.455228571117139	0.2318	0.003839
hsa-miR-451a	1190	116.5	0.459431618637297	0.2412	0.004087
hsa-miR-342-5p	748	117.4	0.43722773891291	0.241	0.004174
hsa-miR-4793-3p	1484	119.9	0.441483479582645	0.2499	0.004422
hsa-miR-184	359	120.5	0.434027674663597	0.2479	0.00448
hsa-miR-4683	1306	123.5	0.38404980679516	0.2594	0.004785
hsa-miR-3074-3p	568	125.4	0.389566811762726	0.2649	0.004986
hsa-miR-5581-3p	1812	127.5	0.407080775450501	0.2711	0.005205
hsa-miR-625-5p	1984	130.4	0.395062799517578	0.2821	0.005523
hsa-miR-374b-3p	875	130.4	0.323081789503733	0.2768	0.005524
hsa-miR-6842-3p	2342	131.3	0.466757615726171	0.2768	0.005628
hsa-miR-3152-3p	638	134.9	0.414676780426886	0.2922	0.00605
hsa-miR-140-5p	286	136.1	0.393965275660243	0.2936	0.00619
hsa-miR-6721-5p	2099	139.8	0.389566811762726	0.3094	0.00664
hsa-miR-324-5p	721	142	0.3928669162308	0.3166	0.006915
hsa-miR-6513-3p	2046	144.9	0.481298941547565	0.3278	0.007282
hsa-miR-194-3p	400	146	0.252173413202027	0.3286	0.007422
hsa-miR-4660	1269	146.4	0.399444564589458	0.3258	0.007482
hsa-miR-7851-3p	2528	150.4	0.36289064266586	0.3435	0.008019
hsa-miR-2278	501	152.8	0.350497247084133	0.352	0.008349
hsa-miR-519a-2-5p	1652	154.5	0.465713319595964	0.3563	0.008585
hsa-miR-3918	925	154.9	0.381837083906047	0.3532	0.008644
hsa-miR-320c	712	155	0.358396261956654	0.3485	0.00866
hsa-miR-1287-3p	219	155.9	0.349365277594213	0.3482	0.008783
hsa-miR-3065-5p	567	156.8	0.339137384919585	0.3482	0.008914
hsa-miR-551b-5p	1795	156.8	0.18269229751619	0.3435	0.008925
hsa-miR-589-3p	1904	157	0.430820496519772	0.3395	0.008949
hsa-miR-424-5p	978	157.3	0.391767719955997	0.3363	0.008991
hsa-miR-4775	1457	157.4	0.345964030342872	0.3324	0.009012
hsa-miR-23c	509	157.8	0.20163386116965	0.3297	0.009062
hsa-miR-520b-5p	1666	161.6	0.465713319595964	0.3455	0.009625
hsa-miR-18a-5p	370	162.5	0.343692069179019	0.3455	0.009757
hsa-miR-409-3p	965	165.4	0.366252263699564	0.3565	0.0102
hsa-miR-6819-5p	2297	167.8	0.323081789503733	0.3648	0.01058
hsa-miR-212-5p	466	170	0.345964030342872	0.3718	0.01092
hsa-miR-6853-3p	2362	172.4	0.32077347694587	0.3802	0.01131
hsa-miR-1293	230	174.8	0.31150311546827	0.3886	0.0117
hsa-miR-4677-3p	1298	176.2	0.309176187478515	0.3917	0.01195
hsa-miR-340-3p	745	177.4	0.309176187478515	0.393	0.01213
hsa-miR-339-3p	739	177.9	0.314986485468515	0.3911	0.01222
hsa-miR-2277-3p	499	179.2	0.289244285156642	0.3937	0.01245
hsa-miR-548i	1765	180.6	0.336854639125465	0.3963	0.01268
hsa-miR-769-3p	2511	182.1	0.288063200325316	0.3997	0.01294
hsa-miR-1262	181	182.5	0.377401430785794	0.3975	0.01302
hsa-miR-6859-5p	2375	183.3	0.324234562270531	0.397	0.01315
hsa-miR-6783-3p	2224	184.6	0.301002256032814	0.3993	0.01338
hsa-miR-3944-3p	954	189.3	0.36289064266586	0.4196	0.01422
hsa-miR-199b-3p	417	193.2	0.270229907237998	0.4359	0.01494
hsa-miR-1255a	167	196.4	0.317304068361915	0.4482	0.01553
hsa-miR-122-5p	126	198.6	0.210388864445403	0.4552	0.01594
hsa-miR-3690	854	199.6	0.340277404766254	0.4557	0.01613
hsa-miR-579-5p	1890	204.1	0.367371065648529	0.4757	0.01702
hsa-miR-29b-1-5p	542	205.4	0.266636642513989	0.4779	0.01727
hsa-miR-4723-5p	1372	205.7	0.278579550458423	0.4745	0.01733
hsa-miR-16-2-3p	339	206	0.197865391353738	0.4714	0.01739
hsa-miR-199a-3p	415	206	0.270229907237998	0.4668	0.0174
hsa-miR-330-5p	730	206.1	0.264236151043547	0.4624	0.01741
hsa-miR-20a-5p	449	214.2	0.273814244587037	0.5015	0.01907
hsa-miR-6869-5p	2393	216	0.314986485468515	0.5065	0.01945
hsa-miR-342-3p	747	216.6	0.255802836602718	0.5048	0.01958
hsa-miR-766-3p	2507	216.9	0.217851096811131	0.5014	0.01963
hsa-miR-1292-3p	228	219.7	0.369606070031838	0.5119	0.02024
hsa-miR-190b-5p	380	220.9	0.278579550458423	0.5139	0.02051
hsa-miR-4690-5p	1317	222.1	0.337996463515016	0.5156	0.02077
hsa-miR-30c-1-3p	576	223.7	0.357270475679559	0.5193	0.02112
hsa-miR-671-5p	2091	223.9	0.24000896473507	0.5155	0.02116
hsa-miR-503-3p	1572	226.9	0.267835392097615	0.5273	0.02184
hsa-miR-6511b-5p	2043	227.8	0.264236151043547	0.5273	0.02204
hsa-miR-196a-5p	406	227.9	0.263034405833794	0.5228	0.02204
hsa-miR-3909	914	227.9	0.31150311546827	0.5182	0.02205
hsa-miR-4726-5p	1378	230.1	0.217851096811131	0.5256	0.02256
hsa-miR-619-5p	1976	230.3	0.331131922217202	0.522	0.0226
hsa-miR-19b-1-5p	421	230.9	0.246104009883917	0.5208	0.02274
hsa-miR-4700-5p	1334	231.2	0.217851096811131	0.5177	0.02281
hsa-miR-26a-1-3p	521	231.8	0.225274929869569	0.5164	0.02294
hsa-miR-760	2502	233.8	0.295135249000818	0.5226	0.02341
hsa-miR-6515-5p	2052	241.7	0.233888060174277	0.5595	0.02528
hsa-miR-34a-5p	753	241.9	0.222804561045261	0.5558	0.02532
hsa-miR-4707-3p1	1343	242.9	-0.144329165559629	0.5567	0.02557
hsa-miR-4646-5p	1246	244.1	0.327687364176047	0.5584	0.02586
hsa-miR-7-1-3p	2467	244.3	0.292781749227846	0.555	0.02591
hsa-miR-193a-5p	397	244.5	0.22650852980868	0.5517	0.02597
hsa-miR-218-5p	481	244.7	0.227741075839128	0.5484	0.02602
hsa-miR-1285-5p	217	244.8	0.11503324294624	0.5445	0.02604
hsa-miR-132-5p	262	244.9	0.183962834842595	0.5407	0.02606
hsa-miR-29c-5p	546	245.3	0.227741075839128	0.5385	0.02615
hsa-miR-4742-5p	1403	246.4	0.221567788538409	0.5402	0.02644
hsa-miR-1301-3p	242	248.5	0.221567788538409	0.5465	0.02696
hsa-miR-22-3p	493	250.6	0.215367972203479	0.5529	0.02748
hsa-miR-3143	623	251.9	0.206643223983395	0.5553	0.0278
hsa-miR-146b-5p	303	253.8	0.279768421593595	0.5606	0.02828
hsa-miR-6511a-5p	2041	254.4	0.326537348139952	0.5598	0.02845
hsa-miR-659-5p	2071	256.1	0.296310560708092	0.5639	0.02888
hsa-miR-877-3p	2588	256.9	0.289244285156642	0.564	0.02909
hsa-miR-2110	454	258.9	0.253384235800074	0.57	0.02962
hsa-miR-5690	1853	262.4	0.195347598322219	0.5837	0.03055
hsa-miR-3135a	611	263.3	0.279768421593595	0.5841	0.03079
hsa-miR-3150a-5p	633	264.6	0.298658315564515	0.586	0.03111
hsa-miR-199a-5p	416	266.2	0.200378797984026	0.5902	0.03155
hsa-miR-1260b	179	266.4	0.283329168051641	0.5872	0.03161
hsa-miR-106b-5p	62	269.7	0.249748715083569	0.5993	0.03249
hsa-miR-1289	223	272.1	0.27500704749987	0.6077	0.03318
hsa-miR-3133	609	272.6	0.206643223983395	0.6061	0.03332
hsa-miR-34c-3p	756	273.9	0.288063200325316	0.6082	0.03366
hsa-miR-3928-3p	938	273.9	0.169925001442312	0.6043	0.03367
hsa-miR-577	1886	275.2	0.185232254230161	0.6065	0.03402
hsa-miR-200b-5p	427	275.8	0.222804561045261	0.6054	0.03419
hsa-miR-500b-5p	1563	276.2	0.296310560708092	0.6034	0.0343
hsa-miR-542-3p	1698	279	0.298658315564515	0.6135	0.03511
hsa-miR-186-5p	364	280.4	0.185232254230161	0.6162	0.0355
hsa-miR-499b-3p	1540	282.4	0.190298791626595	0.6222	0.03607
hsa-miR-200a-5p	425	282.8	0.269033146455237	0.6203	0.0362
hsa-miR-629-3p	1990	283.7	0.277389698810864	0.6207	0.03646
hsa-miR-1294	231	284.4	0.14535138557262	0.62	0.03665
hsa-miR-4717-3p	1362	284.9	0.283329168051641	0.6189	0.03682
hsa-miR-7974	2535	286.5	0.171206827418142	0.6226	0.03727
hsa-miR-126-3p	183	288.4	0.154453592679872	0.6279	0.03783
hsa-miR-103a-3p	45	289.7	0.166072675946706	0.6305	0.03822
hsa-miR-3605-5p	761	289.7	0.297484915710575	0.6267	0.03822
hsa-miR-187-3p	365	291.4	0.175045486110914	0.6308	0.03871
hsa-miR-98-5p	2643	293.3	0.133563525741106	0.6366	0.03931
hsa-miR-130b-5p	256	298.7	0.168642035558839	0.6589	0.04094
hsa-miR-3685	842	301.8	0.24000896473507	0.6702	0.04189
hsa-miR-301b-5p	551	303	0.24731993497982	0.6721	0.04226
