gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
hsa-miR-1291	225	12.41	-1.05020363137679	0.009839	3.704e-06
hsa-miR-4709-5p	1348	28.97	-0.754869468588167	0.08829	6.648e-05
hsa-miR-5001-3p	1544	30.86	-0.73792771160159	0.07202	8.135e-05
hsa-miR-24-1-5p	510	32.83	-0.763415541886825	0.06572	9.898e-05
hsa-miR-6734-5p	2120	37.77	-0.736004117928761	0.08152	0.0001535
hsa-miR-181d-5p	352	39.23	-0.710283551513701	0.07642	0.0001726
hsa-miR-375-3p	879	50.13	-0.663145360874535	0.1385	0.000365
hsa-miR-95-3p	2634	50.54	-0.618827395283202	0.1242	0.0003741
hsa-miR-3131	607	50.95	-0.663373834236464	0.1131	0.0003834
hsa-miR-1273c	198	54.78	-0.621932351219966	0.1265	0.0004762
hsa-miR-216b-5p	476	57.66	-0.649729075771596	0.1339	0.0005546
hsa-miR-3183	680	57.99	-0.645886407507623	0.1249	0.0005641
hsa-miR-708-5p	2447	59	-0.500013835578126	0.1213	0.0005939
hsa-miR-641	2003	63.46	-0.604717795867767	0.1396	0.0007361
hsa-miR-4687-3p	1312	66.45	-0.611094115960931	0.1491	0.000842
hsa-miR-3940-5p	949	68.68	-0.553002759323611	0.1539	0.0009272
hsa-miR-32-5p	723	71.76	-0.534077760696063	0.1645	0.001053
hsa-miR-33b-3p	743	79.01	-0.554273296650016	0.2049	0.001389
hsa-miR-10395-3p	31	79.53	-0.533033615726921	0.1978	0.001415
hsa-miR-449c-5p	1164	80.26	-0.573466861883327	0.1928	0.001452
hsa-miR-450b-5p	1179	81.81	-0.5263689234488	0.194	0.001534
hsa-miR-548k	1768	86.19	-0.54814270552346	0.2146	0.001778
hsa-miR-943	2631	86.36	-0.532824877385981	0.2065	0.001788
hsa-miR-1284	215	86.46	-0.52865644038928	0.1985	0.001793
hsa-miR-6502-5p	2023	92.2	-0.475936324222789	0.2283	0.002149
hsa-miR-1292-5p	229	94.64	-0.502259911390907	0.2362	0.002312
hsa-miR-222-5p	490	95.55	-0.50635266602479	0.2336	0.002374
hsa-miR-7844-5p	2521	95.64	-0.492484413520771	0.2258	0.00238
hsa-miR-519a-5p	1654	97.33	-0.485397973557959	0.2289	0.002499
hsa-miR-500a-5p	1561	101.9	-0.460965297029246	0.251	0.002836
hsa-miR-4661-5p	1271	102.1	-0.456405135747399	0.2442	0.00285
hsa-miR-10523-5p	52	104.7	-0.446344597667109	0.254	0.00306
hsa-miR-32-3p	719	105.8	-0.4813641528372	0.2534	0.003148
hsa-miR-548w	1781	105.8	-0.529905707352221	0.246	0.003149
hsa-miR-3661	809	106	-0.218766199900666	0.2402	0.003165
hsa-miR-6871-3p	2396	107	-0.495328764614261	0.2393	0.003243
hsa-miR-191-3p	388	107.9	-0.532198843511593	0.2385	0.003323
hsa-miR-486-3p	1510	114.5	-0.415229871442725	0.273	0.003906
hsa-miR-6720-3p	2097	115.2	-0.440655033458114	0.2703	0.003969
hsa-miR-6780a-5p	2217	120.3	-0.447918089346892	0.2964	0.004463
hsa-miR-3177-3p	671	120.5	-0.45600928033515	0.2899	0.004475
hsa-miR-4286	1016	121.1	-0.405451450449646	0.287	0.004538
hsa-miR-548p	1774	124.4	-0.364384894130257	0.3013	0.004878
hsa-miR-516a-5p	1617	125.1	-0.416769772900081	0.299	0.004954
hsa-miR-454-5p	1222	125.5	-0.417347659966045	0.2944	0.004988
hsa-miR-125b-2-3p	176	126.3	-0.363642193964105	0.2932	0.005078
hsa-miR-6735-3p	2121	129	-0.395359303815341	0.3036	0.005372
hsa-miR-4645-3p	1243	132	-0.385714193880954	0.3156	0.005704
hsa-miR-664b-5p	2081	132.9	-0.410428246026254	0.3147	0.005806
hsa-miR-301a-5p	549	133.3	-0.40258801244535	0.311	0.005854
hsa-miR-378a-5p	891	134.7	-0.371273056968673	0.3135	0.006021
hsa-miR-181b-3p	347	137.4	-0.341171575656346	0.3242	0.006347
hsa-miR-4753-5p	1421	138.1	-0.379319758775699	0.3219	0.006424
hsa-miR-642a-3p	2004	139.9	-0.398018300167363	0.3268	0.006645
hsa-miR-4731-5p	1386	141.1	-0.382325374531319	0.3283	0.006799
hsa-miR-128-1-5p	210	141.3	-0.400682206301774	0.3238	0.006828
hsa-miR-3922-5p	930	141.4	-0.382325374531319	0.3184	0.006834
hsa-miR-126-5p	186	141.4	-0.369967366106233	0.3131	0.006837
hsa-miR-1914-5p	390	147.1	-0.367359524134368	0.341	0.007576
hsa-miR-9985	2651	148.9	-0.352178966598703	0.3462	0.00782
hsa-miR-5008-3p	1556	149.6	-0.363456578648199	0.3442	0.007906
hsa-miR-4802-3p	1500	150.2	-0.3503385593573	0.3422	0.007988
hsa-miR-199b-5p	418	152.5	-0.35089043505707	0.3501	0.008304
hsa-miR-576-5p	1885	156.2	-0.336245517616654	0.3668	0.008838
hsa-miR-522-5p	1680	167.3	-0.33442531167133	0.4293	0.01051
hsa-miR-519b-5p	1656	168.3	-0.33442531167133	0.4285	0.01065
hsa-miR-4479	1136	169	-0.38364230300331	0.4265	0.01076
hsa-miR-518e-5p	1638	169.1	-0.33442531167133	0.4213	0.01079
hsa-miR-519c-5p	1658	169.3	-0.33442531167133	0.4162	0.01081
hsa-miR-523-5p	1682	169.4	-0.33442531167133	0.4107	0.01082
hsa-miR-642a-5p	2005	171.8	-0.341171575656346	0.4195	0.01122
hsa-miR-4750-5p	1417	172.2	-0.359564163380412	0.4159	0.01127
hsa-miR-6812-5p	2283	174.6	-0.320305975237679	0.4247	0.01167
hsa-miR-548az-5p	1746	175.4	-0.294597079870272	0.4237	0.01181
hsa-miR-550a-3-5p	1788	176.7	-0.384395373640734	0.4255	0.01201
hsa-miR-6798-3p	2254	177.6	-0.312222622603695	0.4255	0.01217
hsa-miR-450a-1-3p	1175	178.9	-0.310253561506444	0.4274	0.01239
hsa-miR-224-3p	494	179.6	-0.338068022963733	0.4258	0.0125
hsa-miR-4786-5p	1475	180.3	-0.322830061181755	0.4249	0.01264
hsa-miR-6797-3p	2252	180.5	-0.314912044324971	0.4204	0.01266
hsa-miR-100-3p	19	180.8	-0.324635687250854	0.4172	0.01272
hsa-miR-5004-3p	1550	182.2	-0.326262685151254	0.4199	0.01296
hsa-miR-6763-5p	2179	183.3	-0.3084658350808	0.4209	0.01315
hsa-miR-6818-3p	2294	183.7	-0.314553164959715	0.4182	0.01322
hsa-miR-550a-5p	1790	185	-0.384395373640734	0.4204	0.01345
hsa-miR-7850-5p	2527	188.4	-0.399349638378805	0.4339	0.01405
hsa-miR-5188	1627	189.3	-0.321928094887362	0.434	0.01422
hsa-miR-20b-5p	451	189.5	-0.330247532744238	0.4301	0.01425
hsa-miR-9898	2644	191.8	-0.399349638378805	0.438	0.01468
hsa-miR-491-5p	1523	193.4	-0.271774706240224	0.4418	0.01497
hsa-miR-1343-3p	266	196	-0.279458852453401	0.4512	0.01546
hsa-miR-146b-3p	302	198.3	-0.298317879704717	0.4586	0.01588
hsa-miR-6720-5p	2098	202.1	-0.284018796811603	0.4746	0.01662
hsa-miR-6772-3p	2200	203.4	-0.276310389669385	0.4769	0.01688
hsa-miR-11399	70	205	-0.339527686718844	0.4805	0.01719
hsa-miR-3944-5p	955	206.8	-0.327348370671615	0.4856	0.01755
hsa-miR-450a-2-3p	1176	209.3	-0.243659847748147	0.4944	0.01805
hsa-miR-7976	2537	210.5	-0.244001516202293	0.4963	0.01831
hsa-miR-6751-5p	2153	211	-0.382325374531319	0.4939	0.01841
hsa-miR-148b-3p	311	211	-0.267079617891743	0.489	0.01841
hsa-miR-3187-5p	687	211.1	-0.298317879704717	0.4846	0.01843
hsa-miR-10401-3p	49	212.5	-0.279984264917195	0.4875	0.01872
hsa-miR-455-3p	1223	214.6	-0.246053227912235	0.494	0.01916
hsa-miR-24-2-5p	511	214.8	-0.252397769725057	0.4904	0.0192
hsa-miR-7114-5p	2466	215.1	-0.383265915043729	0.4872	0.01926
hsa-miR-1304-3p	246	218.8	-0.246737780732143	0.5024	0.02005
hsa-miR-6729-5p	2110	219.3	-0.242806030453363	0.5001	0.02015
hsa-miR-1283	213	221.2	-0.2172559636048	0.5055	0.02056
hsa-miR-195-5p	403	221.5	-0.223306417658407	0.5026	0.02062
hsa-miR-149-3p	313	222.5	-0.258425152581204	0.5033	0.02084
hsa-miR-7113-5p	2464	225.1	-0.237693710997118	0.5125	0.02142
hsa-miR-6820-3p	2298	225.2	-0.331699301461351	0.5086	0.02145
hsa-miR-6858-3p	2372	226.7	-0.244514170649224	0.5122	0.02179
hsa-miR-324-3p	720	227.2	-0.321387185661171	0.5099	0.02189
hsa-miR-328-3p	725	228.8	-0.21943792382894	0.514	0.02226
hsa-miR-454-3p	1221	231.4	-0.234634992450195	0.5231	0.02285
hsa-miR-548ah-3p	1715	234	-0.237183474018894	0.5324	0.02345
hsa-miR-99a-5p	2654	235.1	-0.212400373089006	0.5338	0.02372
hsa-miR-4707-3p	1343	235.3	-0.144329165559629	0.5304	0.02376
hsa-miR-103a-2-5p	44	238.2	-0.25256963166354	0.541	0.02444
hsa-miR-663b	2077	238.6	-0.226678777868338	0.5385	0.02453
hsa-miR-422a	974	240.7	-0.214072869266219	0.5452	0.02504
hsa-miR-132-3p	260	242.6	-0.203734511047794	0.5505	0.02549
hsa-miR-548am-3p	1722	243.2	-0.294951028606318	0.5491	0.02564
hsa-miR-181c-3p	349	245	-0.222632890549587	0.5543	0.02609
hsa-miR-632	1994	245.3	-0.313477062194093	0.5515	0.02616
hsa-miR-6741-3p	2133	247.7	-0.195946441032647	0.5594	0.02675
hsa-miR-4797-3p	1491	250.5	-0.193469710740434	0.5697	0.02746
hsa-miR-197-5p	412	252.5	-0.266038336691079	0.5756	0.02796
hsa-miR-181a-2-3p	343	253.2	-0.192315356756893	0.575	0.02814
hsa-miR-92a-1-5p	2610	253.4	-0.155694699836063	0.5715	0.02819
hsa-miR-3613-3p	768	255.9	-0.142894837314668	0.58	0.02883
hsa-miR-576-3p	1884	257	-0.257562554623734	0.5813	0.02911
hsa-miR-543	1700	261.6	-0.191326645096798	0.6012	0.03033
hsa-miR-1226-3p	127	264.1	-0.31079031169837	0.6094	0.03098
hsa-miR-628-5p	1989	264.5	-0.183932827097824	0.6074	0.0311
hsa-miR-548n	1771	267.1	-0.197765416051509	0.6164	0.0318
hsa-miR-3157-3p	646	270.1	-0.166988500841638	0.6275	0.0326
hsa-miR-25-5p	516	274.3	-0.186557400948926	0.6453	0.03377
hsa-miR-2276-3p	497	275.2	-0.184588523071337	0.6456	0.03403
hsa-miR-505-5p	1578	275.8	-0.238033969263056	0.6442	0.0342
hsa-miR-4690-3p	1316	278.6	-0.324635687250854	0.6545	0.03499
hsa-miR-484	1507	280.8	-0.147361882921011	0.6614	0.03561
hsa-miR-4738-3p	1396	281.5	-0.16682653676166	0.6608	0.03583
hsa-miR-378i	899	283.8	-0.152965210880434	0.6685	0.0365
hsa-miR-615-3p	1968	284	-0.123276793484833	0.665	0.03655
hsa-miR-4429	1079	284.1	-0.170718702002469	0.661	0.03658
hsa-miR-374a-3p	873	285.2	-0.107181572204967	0.662	0.03689
