gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
hsa-miR-6728-3p	2107	84.67	-0.495532147294641	0.05475	0.00169
hsa-miR-3130-3p	605	84.71	-0.492078535042672	0.05416	0.001693
hsa-miR-6130	1962	84.93	-0.495532147294641	0.05393	0.001706
hsa-miR-6837-5p	2333	85.33	-0.495532147294641	0.05401	0.001728
hsa-miR-6513-3p	2046	86.09	-0.487014665186324	0.05473	0.001772
hsa-miR-1908-3p	373	87.38	-0.477944250839036	0.05641	0.001848
hsa-miR-3605-5p	761	87.92	-0.482371551133065	0.05675	0.00188
hsa-miR-4485-3p	1144	88.73	-0.467732918626786	0.05758	0.00193
hsa-miR-492	1524	90.6	-0.473330190597877	0.06039	0.002046
hsa-miR-5008-3p	1556	93.6	-0.457989644463391	0.06542	0.002242
hsa-miR-33a-3p	741	94.91	-0.451859343104953	0.06727	0.00233
hsa-miR-30b-3p	574	97.76	-0.459179169093832	0.07226	0.00253
hsa-miR-365a-5p	805	97.97	-0.447918089346892	0.07191	0.002545
hsa-miR-212-5p	466	98.56	-0.437720936370133	0.07236	0.002588
hsa-miR-7113-5p	2464	99.18	-0.45600928033515	0.07285	0.002633
hsa-miR-151a-5p	318	102.6	-0.443987573250296	0.07916	0.002891
hsa-miR-874-3p	2582	102.7	-0.431675979730294	0.07856	0.002899
hsa-miR-4467	1122	103.2	-0.448508591452505	0.07875	0.002935
hsa-miR-5196-3p	1648	104.8	-0.432649261181826	0.08137	0.003064
hsa-miR-652-5p	2057	108.5	-0.411771091051895	0.08875	0.003375
hsa-miR-5089-3p	1587	109.4	-0.423139297775808	0.08975	0.003447
hsa-miR-5587-3p	1824	110.2	-0.423139297775808	0.0908	0.003521
hsa-miR-6884-3p	2422	110.3	-0.423139297775808	0.09002	0.003525
hsa-miR-4695-5p	1326	110.5	-0.423139297775808	0.08969	0.003546
hsa-miR-3651	797	111.1	-0.418118536308665	0.09011	0.003596
hsa-miR-6837-3p	2332	111.2	-0.423139297775808	0.08953	0.003607
hsa-miR-3176	670	111.8	-0.423139297775808	0.08987	0.003654
hsa-miR-197-5p	412	112.1	-0.400110955040741	0.08979	0.003685
hsa-miR-885-5p	2591	112.5	-0.410811788509143	0.08984	0.003721
hsa-miR-5189-5p	1629	113.6	-0.423139297775808	0.09142	0.003821
hsa-miR-3152-3p	638	114.4	-0.401444226676489	0.09238	0.003896
hsa-miR-550a-5p	1790	115.6	-0.373701051008195	0.09407	0.004002
hsa-miR-573	1879	116	-0.394600489838142	0.09424	0.004045
hsa-miR-34c-5p	757	116.3	-0.400682206301774	0.09405	0.004072
hsa-miR-4793-3p	1484	119.2	-0.408320583064263	0.09962	0.004351
hsa-miR-331-3p	731	119.8	-0.403160245562215	0.1001	0.004408
hsa-miR-6734-5p	2120	120.5	-0.399159371970236	0.1008	0.004478
hsa-miR-550a-3-5p	1788	120.9	-0.373701051008195	0.1009	0.00452
hsa-miR-1266-5p	188	122.2	-0.386845571568701	0.103	0.004651
hsa-miR-139-3p	282	122.4	-0.383265915043729	0.1024	0.004667
hsa-miR-3935	943	124.7	-0.395928676331139	0.107	0.004914
hsa-miR-578	1887	126.9	-0.364013496254377	0.1111	0.005145
hsa-miR-548o-3p	1772	127.2	-0.38364230300331	0.1107	0.00517
hsa-miR-29b-2-5p	543	137.5	-0.355866839365776	0.1349	0.006349
hsa-miR-3127-3p	600	137.5	-0.354759487354735	0.1339	0.006354
hsa-miR-1260b	179	145.9	-0.335699214659963	0.1551	0.007415
hsa-miR-2110	454	146.4	-0.326262685151254	0.1552	0.007478
hsa-miR-6799-3p	2256	147.8	-0.331880875313568	0.1579	0.00767
hsa-miR-18a-3p	369	149.3	-0.333879697404169	0.1607	0.007866
hsa-miR-29c-5p	546	149.4	-0.332970798589448	0.1598	0.007881
hsa-miR-26b-3p	524	153.1	-0.425462478697937	0.1688	0.008391
