R2_06M	R3_06M	R4_06M	R5_06M	R6_06M	R2_12M	R3_12M	R4_12M	R5_12M	R6_12M	R2_24M	R3_24M	R4_24M	R5_24M	R6_24M	R2_48M	R3_48M	R4_48M	R5_48M	R6_48M	R2_72M	R3_72M	R4_72M	R5_72M	R6_72M
PP_039025	12769.309315292	-25047.4017911512	-29856.5732667098	5694.15533995831	-38669.8884025847	6449.39335592635	4606.8932902341	6699.60685758152	-3815.82732022146	-29708.5755156203	4457.12403912293	1524.78841701546	-198.221211573713	11259.8903835532	-9706.89081583367	18158.6496014787	17721.8244295552	1151.68466320429	3419.99487440196	5130.84485718802	9828.13021639369	31538.0667289516	23259.5790453088	12648.7129723059	14547.8616627688
PP_051191	77890.5857732595	-160522.201841129	-450878.369619628	-62555.6461990282	-438641.586017694	176642.528215096	103309.853973633	-15062.5135959304	-49278.4437874788	-169718.724719473	192823.161565883	51135.3218976867	-15902.2372953034	176350.90670496	-86115.7155623062	-235852.258170124	-125911.515979702	72017.2633670269	-395707.6581133	304575.14978548	-335422.87682315	135959.873986807	307969.596704824	647040.664273923	408417.168542565
LP_23731	5853.12668148105	-4887.4282777553	-4128.92697181116	-9071.13214864553	-1134.52688694965	-11093.1080088682	1867.75299875904	-13290.9851881498	-8329.80063599958	-6688.11062231868	478.527292442719	-1404.81281860702	-13549.9454814937	-6964.21066421398	-1376.7718478685	3665.6676959074	-4908.3738072821	-3169.23500351146	-435.788938487778	-5424.97236671475	8503.15542017629	-1812.0529311718	6018.15587794624	6009.64270033441	-2613.91619374115
LN_16788	40124.7349935637	55190.9267335389	103619.058166846	-6997.6098097459	-47540.2180555012	8201.77811299339	-29966.0973921285	3504.26105779182	-10344.6275026082	-35369.9391199119	-23090.3671823422	-27907.5144210296	2781.1059071732	-8576.70895086242	-40407.1212992027	47596.3473550499	-61559.88467961	-16815.4424772502	-5685.38671276692	-50698.4995913463	-9001.83118168972	-55364.2935577607	-28653.9735723277	-29826.213850418	-62627.7812104697
PN_023106	33091.7505935486	9477.03204042526	-31134.1490091964	6083.76948824983	-39510.7374884127	21635.8299077092	17005.4367223531	1157.25656362054	-7980.9600767739	-23670.8014896583	31689.3029106687	1691.55559088703	-8910.70987413907	17634.6769880484	-25421.9972564409	-4804.73377320454	-6657.83473503321	-8062.76080912726	-11059.5884336428	-3799.09138907641	-24158.0713626973	-5382.78066042799	-4912.07654741222	-34916.1760247531	-5449.69315102326
LN_005077	-232000.519795689	-345856.791119881	349596.488108133	-140781.857494813	-492675.139019442	-417310.023912644	-537226.585858309	60984.6526777995	-63103.0224811148	108192.379650316	-586974.219178229	-359748.829754	-11996.4197095108	-267255.150971409	2832.13017672894	224230.741775235	-457405.900718908	11082.8616830455	75730.606828128	59159.9959916727	489245.85459369	-268973.001794065	140150.627777849	106192.196675504	123380.784380659
PP_042529	-404340.117829322	255394.88160518	-114793.863547877	1002818.30407221	-691886.927641653	698208.421496147	-302853.900313584	48583.9380200894	-960294.171881598	-259118.925240602	-202685.711217274	-251654.442925986	90066.674778867	-671140.198799995	-839093.944461991	73293.4684476177	1371369.6271734	-444846.962140453	-797278.788391445	-120537.126503555	-715770.458635524	1389279.70756019	78487.9430146029	-744220.956215783	262483.486883604
LP_003436	11837.9063867071	-1027.74481365313	6869.81757587733	-15949.2621381041	2689.19043871535	-13406.1138530531	-10398.0801044519	-26067.557049931	-10758.8617700486	-12650.4932084415	-9477.8969828016	-11123.2901933326	-25420.4066323219	-19022.489666754	-16351.9402360301	8541.97444414395	-9525.25787686642	-9330.73611631847	11581.6499672753	-12743.4944645463	30561.2337027212	11070.7016256159	3960.08629023741	8987.16474579404	-3700.89769007436
PP_054769	-16633.5284133315	1762.65757655581	-13956.8185014808	25672.15829464	-30661.4216121771	11626.6115138197	-18683.7279707867	-12665.9712614712	-25534.4362682916	4244.21214404992	-9155.10756237834	-13245.3502571971	-12929.1580984906	-14831.9271957652	-14296.3525853066	-31657.6237318839	130906.409071846	-18063.1656834094	-38766.8825682569	3338.94114431994	-35243.9356082705	175667.400227863	2840.09354282011	-21043.556636963	22033.7469834145
LP_003719	3760.11116471437	34947.4269962133	-9820.2241260336	38222.1675265866	-35324.8110632774	84377.2864869433	132421.19560268	-20278.0306277731	-45879.9911565197	-37436.6420677029	121232.451244305	95355.0833655273	8155.89102008964	83914.8138518249	-46281.8407943402	-15643.7783298526	-45306.6907550497	170316.424673214	-30687.0499006214	-20739.9813790518	-48317.8608097052	-48939.5982724146	98329.5005157708	-42035.0507101774	40441.6590504951
PP_041329	-328414.357648516	-205733.377230818	-322630.809075006	26321.5981123828	-254343.640831387	-292733.936551298	-235051.41102041	-411558.122817606	-123426.335815012	14767.7174112454	-349411.119852197	-327803.533757756	-331028.930757677	-182254.008962693	-42764.3210580584	-32545.3836282871	378157.038514092	-151807.883082784	-202296.364369349	-41339.7619337508	204318.434517251	334536.841986075	-46602.4356549284	-66892.7513947067	-105062.403582455
PP_039913	69079.4074055262	92096.5975745499	32976.7603049697	55178.7080821534	-13640.1662042685	-16671.5836020457	-5062.89265113758	2319.54795236564	-23982.9093706852	-46539.5668322829	-11949.616469738	-36797.140577651	-2470.37151122862	-35371.4569706074	-54057.0992625947	-44323.36461333	-38728.3675588981	-7706.57154532356	-47349.67724606	-54214.1988552589	-70614.9039062028	-38822.2614902504	-34046.7983141058	-25776.0788796773	-56352.1554347103
LP_003051	-122031.861357851	-191127.393590437	-226526.8128922	-215264.02312012	-104479.888660461	-197324.447386388	-153743.567039837	-277456.926173085	-144966.516612257	-80011.2043009681	-172497.162536225	-136587.86876829	-276792.888405263	-163510.507473456	-62592.3139300098	104735.92312093	166188.558218181	-134422.638990095	189912.049678947	164052.328382063	507743.926044805	183096.363121208	86179.4370408335	407739.911418127	327950.301448656
LP_27560	-13889.1043054731	-36577.634533647	-48724.9261863521	-48780.2723314949	-23304.8848188137	-29148.7125947915	-5445.88672394679	-55658.6192247023	-38221.1294778719	-12463.6122632461	-5983.23623727165	13053.4709081325	-58207.1150788209	-36212.0317561125	1798.68819788993	-3164.53365822126	55229.435321495	-42719.0103648828	2893.34112968946	36351.8948412682	72237.6038397897	83938.9040293176	-5445.8786022221	89867.2048102516	56117.798782755
LP_29012	13108.7936956793	5063.90722352849	-8746.44752553081	18024.6606104036	-313.03471003372	14847.0109189641	32068.0282479814	13612.7757825265	5241.72967800897	1623.93983963555	16928.0135076496	28038.6726138009	4410.81506575795	2846.21896289827	3710.48025396939	-21036.4748632009	-218.45259130661	2156.613220575	-15647.0914766754	-3982.63049042636	-18958.2528275723	-11047.2991819166	-6433.79984909629	-16885.7782080202	-11565.1517855532
LN_16548	-8791.89345905186	-9308.64067846549	-22074.7764427602	-17757.7360722692	-33340.9414207911	-12653.5408462355	13092.6953020103	-13408.4320573277	-11701.3760822876	-3257.85327330125	-158.311089501549	3827.12008418805	-17565.2274338476	-11745.1893657676	10678.7168961671	-8134.07934838907	26180.7418512891	-7879.23480762193	-5182.76535677219	3613.07404930556	4406.75231662961	19747.6180935461	-9117.07454520701	13531.374515675	-9291.54662751127
LP_24088	5391.95145454404	1464.54958758814	2821.30519380809	-2025.33691050969	1615.15494774283	-2408.73036003994	519.599206473882	-4930.04392464544	967.878901577878	-1982.07756245779	2136.94913841723	-1033.48380265064	-3706.85638348496	-11.1267349055124	-3321.05238196947	-423.40224358359	-5887.72170945426	-4806.68494483427	-928.747456888479	-2818.27902256899	140.809550347305	-3947.47026016669	-1512.85352624221	-3896.55906639072	-4344.98780544429
PP_041713	21018.271964058	3278.80958136112	10528.3979454788	28354.3531868647	-10380.4388219303	2477.92809104557	15524.7651382109	26719.9713575115	-4342.69545120431	-15795.2498133339	18050.9818299819	4023.21125726586	24224.1379614714	9679.41042887586	-13787.5557904941	-13604.7442154547	-1832.75507185011	24577.1701745022	-14917.3632282694	-1553.80594531904	-21289.6484540099	-11536.3327000853	7153.94098035114	-9836.8784428467	-7147.9877163248
LP_005086	-3449.70000032746	-3990.82393046888	-5946.03014661537	-9136.66814680947	-1589.26564740962	-5002.38938110262	18910.0849152537	-8588.3598077908	-5577.64868253527	-1833.57547996683	9005.91668732462	2366.45997151263	-8576.23607930242	-6055.13572840127	-4463.63416412724	-940.564575346451	9137.09474538805	-1366.89384839816	-8886.17559760009	-7025.66570998257	23394.0042006102	11886.3817167003	-2595.12834621101	-7375.46542299957	-6901.42818853127
LP_002479	-6420.46388311542	-29894.4029067614	-25873.6662752694	-35894.1997139912	-23456.820850177	-22338.0501343422	-1129.0675678569	-36081.2959508944	-30657.0351284274	-21690.9963316165	-7176.41784200196	12608.7564763676	-53177.422935267	-35787.2923403132	-18708.1748489646	35178.9069931897	27378.9336224875	-27315.6179118135	-11035.6268823288	18115.3650008167	36823.8864760485	73313.1576128283	48001.5198173055	64975.4066456284	71905.9958476491
LP_23730	178.817234054266	-10338.6376324209	-3469.53404237579	-9931.91051370656	1630.83207160764	-7959.15623464527	-1642.88375691924	-17218.6662435929	-6330.85995353198	-2252.69595474523	-6169.65107072855	-2465.33172385951	-19330.3107688369	-11351.7818012448	2417.69028015316	8289.08380230924	4614.16687953257	-8792.71380192954	4319.35987074749	-4508.84938719274	21613.5833481078	5622.60034558472	7759.36224320033	6778.13603224929	-404.679782945219
LP_002245	-12748.9955111145	-8007.09137463762	-15332.4593725697	964.789922209249	-15572.4093095364	21259.687856411	40351.2739138854	-13801.2064143801	-15489.383334979	-14843.764445408	46407.7640149732	27782.0530812715	-7341.09696964454	26379.0596067793	-14333.2449172683	-9690.15961817255	-12166.2106228174	73661.1515436876	-12230.8421819237	-6331.49087430451	-13334.8698699889	-11835.9782902975	56896.2971321906	-7605.33428597868	55765.8176651999
LP_22581	-34815.399040973	-29910.2171632716	-45243.1103270823	-56275.845000941	-35359.1693926787	-54167.7428874906	-12106.6843909224	-55115.3536305813	-38244.4139132137	-7928.96507942796	-27201.3034157025	-22568.7996563652	-59853.5752858805	-39780.4889318588	-17830.0470496891	32833.5962942023	46091.1321059185	-22512.4956624537	19744.3125391892	40001.1609323081	72814.6183191812	31739.5093600659	28631.2216534175	59822.9456893788	62891.2165037167
LN_16499	-11634.3915527504	-22375.7351317771	-42401.8793068942	-37050.4774291959	-56850.342781981	-20583.0493744601	-12084.8509329189	-43178.4245127298	-15892.5860914482	10357.1216267522	-10488.2951454443	595.621805340328	-51679.653658852	-27423.1644045369	24182.0240384701	5097.3511684527	69765.0258694371	-42775.6370432852	25081.4066316092	21064.5774510655	15341.9308601949	27595.5156944135	-15469.7030955862	19108.7441859247	-10285.2882183872
PP_043273	-41000.8677607427	-76187.0584372354	-43415.4218055453	-64112.4536685664	-36772.8018645565	-70333.8829501246	23555.4524688736	21187.4199821992	-45836.5415887951	-78066.3114037999	-2757.56898635831	-9025.45688050579	121207.611222785	85475.9481712139	-74893.0898206055	-77593.8847677078	-76533.3119461426	225246.511672534	-77177.7994708401	127909.918858026	567490.129502259	-77540.6710654123	455079.324801206	-46106.4022856097	400185.101024843
PP_054529	2951.75370932398	-8692.03788208619	-14675.1630137944	8532.15602455313	-14361.0070213389	12683.6491757798	2469.40375740585	4074.74061263089	-2279.08156323371	-10382.1709558887	10719.8124796388	6731.28553549781	4259.4921971126	5033.95684570147	-4919.24165813759	-13904.6982936167	3589.57072529881	1424.07524023142	-12865.6089918151	10883.9641086594	-14526.9240309328	4790.95208058935	7295.09684812905	-2341.4818878388	17344.4949951078
LP_003917	-6121.86638373758	3701.48480656188	-14822.86958568	4912.70983432379	-15112.1551770448	36168.1764336449	56723.1424006787	-12184.9967000187	-16349.3833268375	-13248.1928369441	53502.4350480748	35996.5841473761	-1514.78523305275	36865.5979582996	-14965.4256782009	-9552.52152306131	-12754.7669885939	72977.519795226	-11207.790701502	-6034.4963990321	-19482.4031212672	-17131.8274984683	55086.6638143107	-16124.876881629	25273.886045427
LP_24939	216129.663816422	249056.107833738	228302.747129176	26140.6312219827	321960.876830029	-59861.5324557601	278847.357357515	-202.391434896737	47013.776106366	-104841.238623625	83369.9675996988	-16155.0217579335	-134142.518733064	-265364.684119859	-85919.1460627224	-341554.744362213	-235590.866837571	-453239.343011647	-174708.436476996	-337791.400424007	-261008.965087015	-323440.234400671	-571992.94582106	-109862.027495341	-391611.722948489
LN_003349	-10825.8280610435	98707.8313376807	72033.5201894055	-87584.5606982913	-106827.71684652	-50540.1994250506	-16337.9522572279	-38487.9722775839	-56885.2122044889	-38210.3927387687	-29870.2899882136	-63529.808287157	-28065.7146463955	-74164.2491855282	-31840.5278925894	43075.6939278229	-39144.6729649209	-16794.2865660921	6375.91089408708	-48004.5377292074	3355.5877043888	4756.2125079149	-46532.586020223	-1935.8788822169	-60976.8558417016
LP_002699	-18676.971115281	-20892.5240523561	-19197.4261535885	-16398.8948378177	-14938.4081093239	-12705.5659361396	-12909.3308541239	-17202.4600854123	-15848.969261797	-16337.4184594593	-13794.6470913726	-3941.80620711903	-19288.0492762589	-15607.6185844496	-8536.74062116539	-4875.73227575551	1027.24487823622	-9011.64919213727	16078.214260734	7223.9518695534	80390.5906516711	19516.045427487	-4968.79274354237	70025.9236813538	60152.3247198567
LP_29154	-63256.1229776644	-36740.0818170983	-86736.3653458601	-105660.832866111	-74812.6290672848	-67128.0069165502	-51552.6461878365	-90707.2053458268	-57472.9800730688	-63769.0795464143	-52045.3307221704	-34257.3693711949	-81553.8761148058	-56288.3386283412	-26826.8985156314	74049.0777452094	73002.5793133974	-9651.83448271194	125273.71614077	71011.4668590479	51541.4111380623	78480.3015191933	26050.1034820797	145631.825569734	92000.5417760351
LP_31157	30403.0321288351	87222.6109836745	169509.253938409	26751.21451351	72727.5174760581	-1304.16877714488	37538.5570826883	85411.8239378751	34065.8977053172	2785.24882794949	972.609175516438	-12444.9947838623	77209.2236139293	-11392.4782337521	-5703.0267839818	-53766.8504080447	-40491.5419258289	-16368.8687211038	-43662.9878171391	-38528.4687699528	-82076.4960203644	-75210.5146336246	-59626.1294518178	-85576.529340979	-65103.1520608842
