D24R1	D24R2	D24R3	D48R1	D48R2	D48R3	D72R1	D72R2	D72R3	D8R1	D8R2	D8R3	M24R1	M24R2	M24R3	M48R1	M48R2	M48R3	M72R1	M72R2	M72R3	M8R1	M8R2	M8R3
F8A1	3.92594898543496	3.84811424795495	3.76294961407727	3.86618057188825	3.90342819577509	3.94163494280893	3.86840362921586	3.83678496872257	3.9395302034371	3.85419912823372	3.8604477359732	3.78148403632111	3.82903603205849	3.84811424795495	3.89060646008727	3.8723907400311	3.67556996352425	3.84896156782474	3.93268112889486	3.8850959738002	3.9646604398581	3.86477074692395	2.63288834068767	3.82752587405102
VMP1	3.73835115174882	3.66506580701923	3.69570506983399	3.73594605440046	3.73594605440046	3.93649625081458	3.67012938479159	3.72675172762319	3.77715961897601	3.68283328364704	3.69287450350494	3.69570506983399	3.63690972715873	3.69287450350494	3.72675172762319	3.68283328364704	3.86323571053119	3.73214091660922	3.6988516445224	3.73970629031149	3.98261971949918	2.80544034834145	3.70781908803758	3.64480359828772
PTRHD1	4.00098911443109	3.77203122460034	3.64480359828772	4.05254153236497	3.96244141065479	3.84216047484584	3.91517622900595	4.08568969603495	3.70781908803758	3.93804267550659	4.03921524054213	4.08206516365217	3.99805017303346	4.00231972037847	3.44325547603345	4.15659485071641	4.09372235260811	4.01213360894145	4.11509074138952	4.0187983503796	3.73970629031149	3.72206847956799	3.77982212333614	3.96149073961032
ENPP4	4.18967598772018	4.08766531791889	3.78148403632111	4.14221096164275	4.15784349879092	4.03278906197148	4.09142836449607	3.38328408953133	4.0778330509494	4.13713300039219	4.18025194790704	4.03460112700816	3.9932885979923	3.74721506385805	4.11060926159372	4.04160282048982	3.99548762951688	4.02922150378418	4.23049677212719	4.10655702668477	3.97733385549153	3.97239581465707	3.89421220100295	4.049245575109
AGRN	3.71087112578759	3.59682983900457	3.44325547603345	3.84811424795495	3.83184776976885	4.1810748356725	3.97540966188112	3.97397936337012	3.88835770788276	3.75989864760079	3.76294961407727	3.7751732014979	3.77792032117197	3.57954727165299	3.71087112578759	4.00624835432186	3.90401524902536	3.91726832760842	3.87916905962253	3.99957672051572	4.00510549523009	3.86390514276016	2.63288834068767	3.72206847956799
DSP	4.31691866580416	4.21692639367002	4.14665389624279	4.24390460915857	4.18393143144822	4.05644997556124	4.14064644123676	4.2219116382341	4.16399543307724	4.22413391901011	4.23896111856307	4.23028924662634	4.1798066876526	4.1564555397881	4.19578550304682	4.17088990183235	4.00149954098135	4.16420009823152	4.28482119701909	4.26166973379642	4.00993356449672	3.9646604398581	4.0965171646097	4.17324326247039
MFN1	4.23419286872171	4.22095918095977	4.20669352540567	4.218649757641	4.22013501075121	4.29684546037192	4.09085414612144	4.15000254131832	4.054388560717	4.15765023470221	4.22688655911389	4.17594025131091	4.00098911443109	4.20489872140888	4.20016662934403	4.21070947303753	4.1798066876526	4.21668191788911	1.43655666454111	4.12915366993843	3.9930332223248	4.23872088612379	3.38328408953133	4.09409558794939
SOGA1	4.218649757641	3.89915202638527	4.11133481377852	4.15407646768733	4.20269034552374	4.21451452779463	4.14020999163544	4.15013401746423	4.17304566796197	4.10396419504622	4.15765023470221	4.14781005625072	4.09837762158389	4.10806931392284	4.16818256400301	4.1324504445243	3.94845354037775	4.14604015991068	4.1516153752576	4.1510945696486	4.19578550304682	3.95276251037228	3.97505869678587	3.96546694123309
PGM3	4.01484278223562	4.24813853056196	4.16158093264197	4.25906665638862	4.04621247018018	4.09247100567162	4.18230362010845	4.15716599297717	4.08623214172448	4.20105096564059	4.28229332119357	4.20414062903899	4.06241547641011	4.04988875880081	4.06457002224799	4.07828651241014	4.05270658148835	4.1614166873452	4.02358825155208	4.03253518332134	4.06685048632658	3.97767392621829	4.11790242763337	4.18230362010845
EMG1	4.1274700879264	4.17855441039467	4.14560042518963	4.07937676740725	4.10199478188699	4.19642619152116	4.08385995166863	3.92645946581653	4.11133481377852	4.14192001444903	4.09948926780165	4.13925257032776	4.15013401746423	4.03498310123998	4.11837155954117	4.08537260331364	2.80544034834145	4.06150583003432	4.11354134017288	4.08033765985657	4.14797135424168	3.9530911006943	3.88626578225551	4.13616448517253
LIG1	4.06642923184346	4.02312645574091	4.17363309636629	4.19017783088159	4.03788537987871	4.03953970956072	4.11276435523472	4.00289778086392	4.0490832777814	4.18852984925963	4.21408000768908	4.07937676740725	3.99930847151199	4.01330398097051	4.09517915374062	4.00289778086392	4.01107476094943	4.07738290113367	4.01934029873152	4.06051213938318	4.04373948147515	4.00393903602389	4.05156983886108	4.02606469305812
ELMOD2	3.93473734970488	3.8723907400311	3.87759765651497	3.93115023296587	3.93804267550659	4.03898281735541	3.86323571053119	3.92078854925395	3.98057141899216	3.84983391450173	3.85246376731864	3.89208828937936	3.90173433532222	3.89599802567975	3.90173433532222	3.92302580014374	3.88439580675015	3.92944915659055	3.93617302548072	3.92764126617248	4.06504221161491	2.80544034834145	3.85695305251717	3.92645946581653
PHYHD1	3.91271925655472	3.85419912823372	3.92906117917999	3.88196958201792	3.92542308443654	4.0249615635638	3.92944915659055	3.96203140673604	3.95762733785654	4.04662629018719	3.9280821018453	4.07549419368154	3.9426438236879	3.93064461154042	3.92542308443654	3.84811424795495	3.74572691542974	3.95718127820736	4.00075584517796	3.9514550337509	3.73970629031149	3.7137313542334	3.84216047484584	3.95834636273585
ESD	4.18380712319323	4.31546050136373	4.18663740797434	4.18317448750703	4.1932382251021	4.21582148882188	4.28789414448855	4.13061871814692	4.17665265230619	4.30789692958367	4.31659018733502	4.19281571670124	4.28862132426392	4.17773245139121	4.18025194790704	4.20444460732518	4.2519714194579	4.12889100732518	4.195312276108	4.14229814291495	4.15905248500818	4.16621751505561	4.10504474832785	4.18156155636564
MARK2	4.13389818585407	4.00562200555921	4.0366758051142	4.09142836449607	4.10504474832785	4.1447425011715	4.04118403272589	4.03020878007643	4.06819041798743	3.97020869107943	4.01610970491628	3.98740324900427	3.98992870194079	4.03939162481099	4.09780768587146	4.10005531302249	4.00745166383914	4.06288828356608	4.04942883245054	4.05411987056962	4.16621751505561	3.74879725162515	3.90173433532222	3.86237336955507
ZFAND5	4.05464593873029	3.9924437571262	4.01728394489011	4.02477473737824	4.00289778086392	4.03020878007643	3.94130115973936	4.00339613210688	3.95205274402309	4.02148710721169	4.03020878007643	4.04530121731372	3.97879018345685	3.96114359445905	4.02477473737824	4.0184458785909	3.97316363297938	4.02689696677592	3.97696898904088	3.9368558008911	3.96546694123309	3.73970629031149	3.93444767394185	3.98215625581316
PLXNA1	4.03764959988283	3.91466081706065	3.93007585074114	4.06967496544534	4.0666497971953	3.90626857625815	3.92238812091013	4.03460112700816	4.04022649694606	3.97572244016611	3.98740324900427	3.97239581465707	3.91977684409143	3.97613981517128	3.98330956398571	4.05678600461277	3.76566504627403	4.01462486640169	4.02089637126754	4.06927900589558	3.8723907400311	3.84454192350133	3.76677282252151	3.92542308443654
ATP6V1D	4.02227854770492	3.99980042784911	4.01302501379431	3.99860453106966	4.08805075256029	4.12977701672066	3.95236748316789	4.04269948100537	4.06473930226185	3.98292534890238	4.01822813348549	4.00029287168048	3.92764126617248	3.96414472037514	4.0251981787686	4.02799999670902	3.9395302034371	4.02717759044364	3.98903479225108	4.00603928414723	4.15174417968176	3.77309851732072	3.87985071875504	3.95523999027879
PEG10	3.98355359731306	3.98180014547247	3.90047124259197	3.98513934497129	4.03326458203468	4.17108356713365	3.86390514276016	3.87759765651497	4.10239567096485	3.89848199956355	3.96301693891215	4.01686286633403	3.89281090640899	3.89721984090627	3.94416037426423	4.00004890954134	3.8751312522948	3.88917177749869	4.03389000091533	3.94689215903685	4.20444460732518	3.76465119475189	3.72862929023543	3.96337549114144
MARCH5	3.95834636273585	3.93064461154042	3.9556209565012	3.88675860890721	3.77891546296226	4.03727864631575	3.60752287757677	3.9961773491522	3.90983052929391	3.95205274402309	4.05930515144731	3.83184776976885	3.83283275789205	3.76294961407727	3.87138477240869	4.04961290511516	3.84811424795495	3.87138477240869	3.93234484662302	3.78077292741909	4.10620225396516	3.93234484662302	3.76465119475189	3.71087112578759
AKAP8	4.04405830787725	4.06170979365103	4.04869432383068	4.00479775468557	4.05939313845834	4.11233711296887	4.08188540039158	4.04295108932035	4.07052621736696	3.71087112578759	4.09005977881239	4.03195182547558	4.03939162481099	4.04554367599223	4.06241547641011	4.04140255813259	4.00121082911263	4.0224304000113	4.01437492063196	4.0251981787686	4.13318457284207	4.0961252613374	2.63288834068767	4.05355729160433
SSSCA1	4.15334572926686	4.13441262727973	4.13018551148878	4.11527918682545	4.14744860387032	4.19210453897109	4.03541488345439	4.13563793502261	4.13943186198014	4.14274581859781	4.12809167173457	4.15199261849543	4.15607147638593	4.08805075256029	4.11380999218793	4.16436936483485	4.0666497971953	4.12114337856822	4.18004438143698	4.1575143953642	4.19484882655664	4.05087601996369	3.84564209198139	4.13202578856936
NCOR1	4.13668828330697	4.09142836449607	4.05562790036602	4.09054138597843	4.13654516773871	4.19309840345351	4.08829536132538	3.97936775745659	4.05017616902368	4.05978411349984	4.08310741545772	4.09483802885161	4.02112318118558	4.05288571665521	4.11073903191734	4.07720744662447	3.71087112578759	4.09299170558788	2.59759237398924	4.05939313845834	4.17954118704044	4.05411987056962	3.72675172762319	3.8557898562354
DNM1L	4.1942288583072	4.17755280140602	4.15174417968176	4.07619670342363	4.09054138597843	4.16930558970624	4.16769682085176	3.5232146368425	3.6194219564337	4.08459667826385	4.08012639871801	4.17304566796197	4.10180834025907	4.0459950116067	4.09209323603985	4.0916792955387	3.59682983900457	4.14574447034809	4.09422337302318	4.09352775567028	4.20170747306795	3.5232146368425	4.10369662848725	4.09023532630644
SNRPD1	4.29939347521599	4.28407257655107	4.27986641686487	4.29590109856233	4.29774551986587	4.30049856358375	4.21172377013496	4.28653532695018	4.29331289379533	4.21770920114378	4.28952773449902	4.29422760519095	4.20209614317845	4.26054335095334	4.29260815286124	4.29347347057125	4.14241499034892	4.29669618317157	4.26422062048325	4.11195507908495	4.32354446455858	4.15267103752701	4.06798515757534	4.07345085288396
UTP15	4.1345077823748	4.12957580049083	4.11446052577571	4.07345085288396	4.11119657160405	4.11043262610916	4.00121082911263	4.00029287168048	4.03498310123998	4.24626719424679	4.14225455227885	4.0870842270483	4.07321233023352	4.05521267373831	4.14090537165767	4.09227252575375	4.03921524054213	4.05176416834212	4.03807763859019	4.06076765944136	4.04770277939954	4.00679484732774	4.04470572280006	4.1071459327721
TRIO	4.2187922201229	4.33115467132312	4.33897065651892	4.23433896610969	4.36334442905291	4.46714609407464	4.3344058746432	4.22040681800508	4.26239345317193	4.34376461205325	4.33712094444322	4.35054023464699	4.31300508836508	4.35041933876938	4.42926224581698	4.34580537808754	4.33897065651892	4.33958348328343	4.34720701604713	4.22350516636321	4.27367410005489	4.14442063800624	4.20368144104626	4.34404904155989
SLC20A1	3.84564209198139	3.54296403459263	3.77982212333614	3.95066028956965	3.92238812091013	3.96683663796816	3.97800725071863	4.06685048632658	3.82365031298264	3.91668189264114	3.84896156782474	3.83977406923482	3.8751312522948	3.71801563392693	3.76677282252151	3.90812832365026	3.90854004769673	3.77203122460034	4.07619670342363	4.07379728944377	3.97767392621829	3.77001710260045	3.69287450350494	3.77420273768941
USP19	4.02965818312365	3.96546694123309	3.83184776976885	3.9893761953222	3.83397637797291	4.02843141156359	3.75157396443304	3.77420273768941	3.91332308107717	3.97397936337012	4.03036645916938	3.88369113361108	3.91051308921524	3.93234484662302	3.96683663796816	3.9893761953222	3.85246376731864	3.78148403632111	4.03557517602484	3.99271848406837	4.01462486640169	3.85793921949851	3.84811424795495	3.84216047484584
TMA16	4.08310741545772	3.92030104550412	3.96149073961032	4.10694115543783	4.11073903191734	4.11741690372912	3.97397936337012	3.93186200638977	3.99143785768762	4.11722572647408	4.05842515975835	4.1093651071637	3.91218266900623	3.95205274402309	3.94163494280893	3.89521348252043	3.98864532746689	3.93717882634294	3.911768676532	3.91607986985406	4.13654516773871	3.96955407506778	3.9368558008911	3.93234484662302
RBM17	4.00029287168048	4.16587821647483	4.04846012184171	4.05270658148835	4.02689696677592	3.71709452138264	4.03389000091533	4.12509085327686	3.86756951937645	4.28756921167064	4.30111904614632	4.29012543812377	3.93534665063084	4.04269948100537	4.03389000091533	4.02411316738863	4.11617845337925	4.03921524054213	4.31090416914944	4.29245205790005	4.18333345932104	4.25952332590322	4.07902397685612	4.04269948100537
ACOT2;ACOT1	3.97239581465707	3.91051308921524	3.76915080202817	3.89363724294455	3.95166906283039	3.71709452138264	3.88988632918247	3.94888894247394	3.97963590770701	3.89721984090627	3.95907829161282	3.86477074692395	3.73970629031149	3.75157396443304	3.92645946581653	3.93115023296587	3.70176193709153	3.90111164995067	3.97936775745659	3.94447738370406	3.88917177749869	3.71087112578759	3.83283275789205	3.89721984090627
VPS33A	3.98663458150712	3.96643095431614	3.92594898543496	3.88768838676121	3.75873796289417	3.98972972907242	3.88626578225551	3.73214091660922	3.98215625581316	3.9651780854354	3.99046584566586	3.99832538678005	3.89599802567975	3.91587751598669	3.93587166525824	3.99589417737471	3.93324484570494	3.95405900332487	3.7137313542334	3.9970288473525	3.90111164995067	3.8604477359732	3.7762979587899	3.97136978410815
ZNF185	4.16769682085176	4.14665389624279	4.1326024589306	3.60752287757677	3.69287450350494	3.96414472037514	4.12416625582082	4.14192001444903	3.77309851732072	4.11694071051889	4.13829109362905	4.13698660697511	3.66207493512005	4.12792874908761	2.76184711375994	4.15740833229977	3.73835115174882	4.13467309067971	4.15851812929181	4.14064644123676	3.95806031538527	3.76790564932173	4.09764444759916	4.1258610160022
ACP1	4.13592137189577	4.18721640655157	4.20681309832953	4.23948878788573	4.20938503981055	4.25579325848236	4.1995095925587	4.24881075685901	4.20056255712622	4.14442063800624	4.19810500876786	4.20226866842948	4.18514490680935	4.12274133456998	4.21221277214869	4.18393143144822	4.1830486566949	4.19223607326827	4.20036439856434	4.14385776872493	4.26850324627884	3.91271925655472	4.09780768587146	4.22738264570529
ZNF428	4.07345085288396	4.116349700502	4.06583263783482	4.10165505944115	4.07438680221503	4.15029693768586	4.01145669391504	4.13176904224302	4.12334787061653	4.03557517602484	4.1132478614939	4.07703452360362	4.06757227377559	4.06845760152041	4.09409558794939	4.15215786202118	4.01240565241154	4.06318182161417	4.12665424966406	3.86390514276016	4.1274700879264	4.02774645660755	3.9875823276034	1.63925698343526
PLK1	4.1614166873452	3.90916056707416	4.07052621736696	4.03629016875551	3.92180000329697	3.94930551319985	3.64996054533114	3.70176193709153	3.76790564932173	3.87019132894102	4.06318182161417	3.93617302548072	3.69287450350494	3.83861099536893	3.91777861741858	3.8557898562354	3.76677282252151	4.04448468748988	3.84811424795495	3.76294961407727	3.93768914264877	3.75712202443571	3.89721984090627	3.89060646008727
CDK12	4.08131724500885	4.07111544816027	3.94976627055408	4.04706086997146	3.9932885979923	3.9912251005774	4.0184458785909	3.94370258889198	3.92645946581653	4.06583263783482	4.0459950116067	3.99346776071637	3.97995738339545	3.8467887993405	4.00917555906451	3.93768914264877	3.91441368252782	3.97397936337012	4.06002495874352	3.95985013394248	4.05521267373831	3.88311178397231	3.95236748316789	3.9912251005774
FDFT1	4.04095106807985	3.90577181807022	3.87668899405002	4.03077028200324	4.14838856822684	3.95166906283039	4.10239567096485	3.96571834901498	4.05064213466465	4.00339613210688	3.98233848862714	4.0780857046275	3.85164097386816	4.00262713902431	3.93186200638977	4.09697068032991	4.08285365631366	4.08401737142074	4.13529348410959	4.11399204036155	3.99903696463181	3.64480359828772	3.97316363297938	3.9922367716814
RASGEF1C	4.11399204036155	4.07438680221503	3.93064461154042	4.01484278223562	4.11380999218793	4.05764620925012	4.05644997556124	4.03788537987871	3.98972972907242	4.05133932060905	4.11461034853668	4.05540968018466	3.90854004769673	3.914166547995	4.0184458785909	4.03541488345439	2.80544034834145	3.9646604398581	4.01302501379431	3.9808733643253	3.96063263352222	3.88835770788276	4.00802502117338	4.01705674255408
KIF15	4.08847725570538	4.09309142680635	4.07976817529262	4.08748824695481	4.08012639871801	4.10412414177345	4.07851087136683	4.11472738760693	3.88099187033097	4.09289198436942	4.11509074138952	4.09853928879516	4.05390949783432	4.04448468748988	4.13645217064485	4.11133481377852	4.10239567096485	4.10929815620543	4.12222059897158	3.89599802567975	4.12416625582082	3.92764126617248	4.00892572631219	4.06869231556932
EPS8	3.8751312522948	4.14813666710792	3.93398106198516	3.85495581556339	4.13798258650786	4.14718233873927	4.15977180616418	3.66207493512005	4.16549487923841	3.85793921949851	3.73214091660922	3.81544812999857	3.94888894247394	3.94447738370406	3.83184776976885	4.08938559821169	4.07227252488163	3.9875823276034	4.14574447034809	4.14139039730498	4.17737103346792	2.80544034834145	3.92141970294677	3.97358180087709
